text,intent,escalate,escalate_reason
@153905 @VirginTrains No. I remember your last trip to Brum where the heating was ramped up on @VirginTrains.,accessibility_assistance,0,none
"Thankyou @VirginTrains for not informing me of a change of platform, making me miss my advance booked trains from chorley to Leicester",timetable_platform,0,none
@VirginTrains @146946 After 2 hours of waiting in the cold Preston station with limited info I did eventually get on a replacement bus yes. I do feel however that there was absolutely no need for your employ at Lancaster station to get involved. How can I forward a formal complaint about him?,complaint_service,0,none
"@VirginTrains Advised of a £10 admin fee. Once only once transaction went through they revealed £10, per person, per ticket. Out and return.",ticket_change_refund,1,money_threshold
@VirginTrains Why no bus replacement between Bangor &amp; Chester where no flooding - or advice to on local trains from Bangor towards Chester to catch Virgin London train?,timetable_platform,0,none
"@341297 @VirginTrains @59 Sorry about that, what time/service train was this on? ^MS",timetable_platform,0,none
@VirginTrains Please could you declassify First Class on the 1520 B'ham Int to Euston?  So busy I can't get to my reserved seat. Thank you!,complaint_service,0,none
"Another day, another delayed train @VirginTrains #brokenbritain",delay_claim,0,none
"@VirginTrains Yeah thanks for that, forget that I’m now going to be late arriving into Edinburgh. Booked those specific times for a reason. Don’t fly get the train oh say, yeah right but won’t get you there on time though. Pathetic service from a pathetic company.",delay_claim,1,complaint_review
Does anyone know where the 5:40 from Glasgow is? Apparently @VirginTrains have lost it,lost_property,0,none
hello everyone please boycott @VirginTrains for being unable to find a booking reference so my broke ass had to pay £160 this morning 🙃,ticket_change_refund,1,money_threshold
@VirginTrains can you tell me which first class menu it will be Manchester to Euston 1915? Also what times are each menu on this route as I travel this route a lot and never know 😂,complaint_service,0,none
"@VirginTrains @123241 @13044 Clicked reserve seating, only to find that trainline don’t warn you. Any help? CS virgintrains couldn’t either. Thanks",complaint_service,0,none
@VirginTrains Voicemail left with your lost property team...,lost_property,0,none
"Dear @VirginTrains, have you stop having an in reserved carriage between Rugby &amp; Euston? As this isn’t great for those with season tickets.",fare_ticketing,0,none
@VirginTrains tube shut by arrival time how do i get home???,howto_guidance,0,none
@VirginTrains Can I use my ticket on east midland trains? From East mids parkway to st pancreas?,howto_guidance,0,none
@VirginTrains how do I force the landing page for train Wi-Fi to appear again ? I’m connected to the network but no websites will load and the landing page won’t either,howto_guidance,0,none
@nationalrailenq Be able to let people with London midland tickets on the @VirginTrains from cov to Euston to make up for lost time due to the train fault?,lost_property,0,none
@VirginTrains What is the refund procedure for removal of First Class services?,complaint_service,0,none
"@127472 @VirginTrains You are disabled and have a rail card.

I replied because I got blown up in Afghanistan and lifted my trouser leg up.

At this point I was",accessibility_assistance,0,none
"After Friday's horror show on @VirginTrains London-Manchester, I gave them another try to York. No alternative. Return journey 40 mins late into KingsX, got me in near 140AM. Comp claim for lateness absolutely designed to deter. But it has been filed.",other_out_of_scope,0,none
@VirginTrains I've left my tickets at home and cannot go back to get them otherwise I miss the train I am booked on. Please help!,lost_property,0,none
@VirginTrains Will tomorrow morning's services from Euston to Manchester be affected?,support_access_followup,0,none
@VirginTrains @120576 Not been angry about being delayed got fined for another ticket as my railcard was three days out of date. Just want something back ffs,fare_ticketing,0,none
How many different incidents/excuses can one service have in one day? @nationalrailenq  @VirginTrains https://t.co/g6VbSAt93X,howto_guidance,0,none
Wow... this train from Oxford to Stockport is ridiculously packed @VirginTrains 😳,other_out_of_scope,0,none
@VirginTrains bought ticket for manc to ldn AGES ago. How do i know if I can get any train or just the specific one?,howto_guidance,0,none
When you realise your train ticket is booked in the @VirginTrains 'Quiet Coach' 🤣🤣🤣 @148328 what were you thinking! #quietmeanspartyright,complaint_service,0,none
@VirginTrains FYI no power at seats 24 and 28 coach F on the 7pm Euston to Man Picc service tonight #pleasefixit,complaint_service,0,none
"I was told “Apparently nothing is available, we run a reduced service” ... not a 1st class service from me I’m afraid! Shame on you @VirginTrains, so v disappointing! https://t.co/pNEV9VWoIh",other_out_of_scope,0,none
@VirginTrains £48 for a  ticket from Chester to Euston with no seats and an extra £233 each for first class?! #AreYouHavingAFuckingLaugh,complaint_service,0,none
"Wooooo! @VirginTrains East Coast on time, non stop Edinburgh to Newcastle, and we have our table to ourselves 🙌🏻 https://t.co/HoR7OOKerW",timetable_platform,0,none
Thank you @131370 for the quick processing of refund for when I left railcard at Home. Sadly @VirginTrains still haven’t processed since email sent on 16 October... (can Virgin chase?),fare_ticketing,1,money_threshold
@VirginTrains Someone in our seats claiming they also reserved them.,complaint_service,0,none
Suggestion; Can you install movie 🍿 monitors into 1st Class Trains please?? @VirginTrains https://t.co/YJgJrz7otf,other_out_of_scope,0,none
@VirginTrains I’ve lost my tkt back to Wilmslow. I’ve got receipt and it’s on my app but your staff tell me too bad. Surely not right??,lost_property,0,none
