text,slice,pred_esc,pred_reason,intent
@VirginTrains are the East coast services to London kings x going to be extra busy this afternoon because of the problems with Euston? Last time I travelled on a Sunday when there was a problem everybody was crammed into the train...,safety,1,legal_safety,other_out_of_scope
"@VirginTrains Yet again, train not moved, no announcement, SO packed nobody can sit. What exactly do I pay for?",safety,1,legal_safety,other_out_of_scope
I do just wish that @VirginTrains would refund me the £117.40 they shamelessly ripped me off for and stop adding insult to injury,safety,1,legal_safety,ticket_change_refund
@VirginTrains Mans stranded in rugby and the train decides to up and leave after telling us to go to the other platform,safety,1,legal_safety,timetable_platform
@VirginTrains But if you cancel the 1815 which is now due at 1914 I'll be stranded here? Are there no guaranteed routes???,safety,1,legal_safety,delay_claim
Had to spend 10% of my monthly wage to sit on the floor  of @VirginTrains for 10 hours due to overselling &amp; overcrowding.,safety,1,legal_safety,complaint_service
@VirginTrains absolutely ridiculous that 10:30 from new street to London Euston has people crammed in like this!!!! https://t.co/5xykr5NDlb,safety,1,legal_safety,other_out_of_scope
"@VirginTrains No was just curious, it was a surprise as it isn’t the first time recently the station has been evacuated. So getting off a train",safety,1,legal_safety,other_out_of_scope
@VirginTrains Whats your best suggestion for a Day Trip from London :)?  Got  Virgin Red coupons burning to be used :) https://t.co/je0EOCqU30,safety,1,legal_safety,other_out_of_scope
@VirginTrains absolutely ridiculous! Text @ 0850 saying train @ 10.50 from New St cancelled. Put on 10.30 which is dangerously packed,safety,1,legal_safety,delay_claim
"@VirginTrains What about compensation for the unacceptable travel conditions? It’s ridiculously packed, I had a reserved seat but had to stand all the way",safety,1,legal_safety,delay_claim
@121762 @152019 @VirginTrains @496364 @120576 All we want as customers is information - it’s a disgrace especially when we are still stranded!! And they pull a stunt like blocking!!!!!!,safety,1,legal_safety,other_out_of_scope
@VirginTrains So why just 5 carriages?! I paid full price &amp; couldn't even sit on the FLOOR due to the amount of people crammed into the train (standing),safety,1,legal_safety,other_out_of_scope
"@VirginTrains 17:37 Ncle to Edinburgh, packed and red hot, thankfully people have got off at Alnmouth so a little better. Third recent experience (I’ve heard off from family) where you book, cannot reserve a seat and massively overbooked...not looking forward to travelling nxt Sun Ldn o Ncl 😡",safety,1,legal_safety,complaint_service
Are all trains running up north again @VirginTrains? My friend and her 82-year-old mother stayed at mine last night as stranded at Euston?,safety,1,legal_safety,other_out_of_scope
"@VirginTrains Hi, this was the 16:09 service from York to London Kings Cross. You can't see your livery on the seats because of the crush of people I was in the middle of.",safety,1,legal_safety,complaint_service
Thank you @VirginTrains for making up time on the 7:43 from Euston this AM after the random station evacuation!,safety,1,legal_safety,support_access_followup
"@VirginTrains (1/2) when forced off trains due to cancellations/ overcrowding, perhaps your staff should try some manners instead of barking",safety,1,legal_safety,complaint_service
@VirginTrains Can you please advise on what to do- was supposed o be on the train now to Shrewsbury? I am stranded at present?,safety,1,legal_safety,other_out_of_scope
"@VirginTrains Hope this OAP is a pendalino model, looks like they about to go over on their side.#LondonToEdinburgh #overcrowded #dangerous",safety,1,legal_safety,complaint_service
@VirginTrains Ok but I have a first ticket so do I get refund on that,money,1,money_review,ticket_change_refund
@VirginTrains Had two important appts in #Birmingham - both now missed. No useful info available when I needed it earlier. Refund doesn't compensate.,money,1,money_review,ticket_change_refund
@VirginTrains @660629 She deserves a refund or compensation,money,1,money_review,delay_claim
@VirginTrains my train from Man Picc to MKC 17.15 has been cancelled (advanced ticket) one after shows as delayed. Can I get full refund?,money,1,money_review,delay_claim
Hey @VirginTrains I’ve paid £5 for internet on your London - Manchester service so I can work and it’s so slow as to be unusable. How do I get my money back?,money,0,none,howto_guidance
@VirginTrains I submitted a refund request on 19th October and haven’t heard yet. How long does this normally take?,money,1,money_review,ticket_change_refund
@VirginTrains can you tell me what a 'refund fee' is when I'm applying for a refund?,money,1,money_review,ticket_change_refund
@VirginTrains How do u get a refund as thanks to this crap im not going to make.my appointment so no longer going.,money,0,none,howto_guidance
@VirginTrains I would like a refund on my ticket price. How do I apply?,money,0,none,howto_guidance
"@VirginTrains WOW 😮 “sorry, train is on loan from another train company” Perhaps it should have been decommissioned in the 80’s?! #refund",money,1,money_review,ticket_change_refund
"@VirginTrains get it together, it's been + 2 months and no refund for a 4 hr delay stuck on train like promised. Tried chasing up privately for weeks and everyone says they'll get back to me but they don't. Way to make a shitty experience even worse. It's not rocket science...",money,1,money_review,ticket_change_refund
"@LondonMidland @VirginTrains 1/2""The apparent issue""with the door wasn't the concern but the attitude of the employee and the fact that the trains are rather full of rubbish. 46£ for being yelled at and sit in a dirty train it's a bit too much. Not really a first class person but Virgin",money,1,legal_safety,complaint_service
