pack_idx,text,source,human_intent,human_escalate,human_reason
0,Fair to say they got it wrong at Coventry station tonight @VirginTrains. Moving a train to a platform where people were already waiting for a delayed train at short notice wasn’t smart. Pushing and shoving galore. Get me home.,spotcheck_30,,,
1,It’s not enough that you’re over an hour delayed out of york @VirginTrains but then the train arrives &amp; sits on the platform for fun?Move?,spotcheck_30,,,
2,@VirginTrains Ok. Have you written about the reasoning behind the new app? Anything at all about the upgrade?,spotcheck_30,,,
3,"@127472 @VirginTrains You need to go but another ticket'

I explained that would be impossible as I don't have my wallet now.

She then said, how do we know you",spotcheck_30,,,
4,"After Friday's horror show on @VirginTrains London-Manchester, I gave them another try to York. No alternative. Return journey 40 mins late into KingsX, got me in near 140AM. Comp claim for lateness absolutely designed to deter. But it has been filed.",spotcheck_30,,,
5,Wow... this train from Oxford to Stockport is ridiculously packed @VirginTrains 😳,spotcheck_30,,,
6,@nationalrailenq Be able to let people with London midland tickets on the @VirginTrains from cov to Euston to make up for lost time due to the train fault?,spotcheck_30,,,
7,@VirginTrains 2/2 to being sardines in a can packed together on the second train meanwhile first class is virtually empty any chance we sit in there pls??,spotcheck_30,,,
8,@VirginTrains  https://t.co/MRC6T5iDlW,spotcheck_30,,,
9,How many different incidents/excuses can one service have in one day? @nationalrailenq  @VirginTrains https://t.co/g6VbSAt93X,spotcheck_30,,,
10,"I was told “Apparently nothing is available, we run a reduced service” ... not a 1st class service from me I’m afraid! Shame on you @VirginTrains, so v disappointing! https://t.co/pNEV9VWoIh",spotcheck_30,,,
11,@VirginTrains tube shut by arrival time how do i get home???,spotcheck_30,,,
12,@398094 @VirginTrains On time currently. ^KM,spotcheck_30,,,
13,@VirginTrains have absolutely no idea how to deal with a crisis! #strandedyetagain #noinformation #scarycrowds #toomanypeople #noorganisation #wouldneverhappeninaschool https://t.co/DpWw5sdS35,spotcheck_30,,,
14,Why is it so hot on @VirginTrains #manishot,spotcheck_30,,,
15,"@VirginTrains train delayed by 25 minutes, then a horrible employee tried to make us clear up somone elses rubbish for her, incredibly rude, awful experience... https://t.co/gChXYHmUgu",spotcheck_30,,,
16,@VirginTrains @120576 Not been angry about being delayed got fined for another ticket as my railcard was three days out of date. Just want something back ffs,spotcheck_30,,,
17,@VirginTrains What is the refund procedure for removal of First Class services?,spotcheck_30,,,
18,@VirginTrains Large bag left in the luggage rack on the 18:31 arrival at Euston. No one I reported to remotely concerned.,spotcheck_30,,,
19,"@VirginTrains No it won't. But thanks for your ""concern"" and the £196 ticket to travel in a cattle truck.",spotcheck_30,,,
20,"@VirginTrains Thanks, booked 🤗 if there would be any chance of any upgrades we would really appreciate it! 😘",spotcheck_30,,,
21,@VirginTrains The person on Live Chat states you do not advise disabled seats separately because its discriminatory? So is the '2 seats left' regarding or not regarding disabled seats?,spotcheck_30,,,
22,@VirginTrains Can I use my ticket on east midland trains? From East mids parkway to st pancreas?,spotcheck_30,,,
23,"@VirginTrains Due to today, please can I reserve 2 seats from Runcorn to Euston at 6.21 tomorrow, I am travelling with a disabled passenger",spotcheck_30,,,
