tweet_id,author_id,inbound,text,clean
1176,VirginTrains,False,@115919 If you're unhappy with your experience on this call please contact us on our website: https://t.co/rkAZcF6uR3 ^CB,<user> if you're unhappy with your experience on this call please contact us on our website: <url> ^cb
1178,VirginTrains,False,@115920 You'd need to contact our Aftersales team on 0344 556 5650 from 8am ^CB,<user> you'd need to contact our aftersales team on 0344 556 5650 from 8am ^cb
1181,VirginTrains,False,"@115919 When amending a ticket the system would show a fare that matches your previous purchase, but this may be higher ^CB","<user> when amending a ticket the system would show a fare that matches your previous purchase, but this may be higher ^cb"
1183,VirginTrains,False,@115921 Yes it does. You need to select the return journey then in the ticket flexibility menu you can select open return ^CB,<user> yes it does. you need to select the return journey then in the ticket flexibility menu you can select open return ^cb
1186,VirginTrains,False,"@115922 Not at this stage sadly, but the some lines will reopen shortly so services will be on the move ^CB","<user> not at this stage sadly, but the some lines will reopen shortly so services will be on the move ^cb"
1189,VirginTrains,False,#VTNEW Due to the emergency services dealing with an incident at Preston all lines are closed.,hashtag vtnew due to the emergency services dealing with an incident at preston all lines are closed.
1198,VirginTrains,False,@115923 We don't have that information here I'm afraid Andy ^CB,<user> we don't have that information here i'm afraid andy ^cb
1200,VirginTrains,False,"@115923 These delays are out of our control, but we do work with Network Rail to try and reduce any problems ^CB","<user> these delays are out of our control, but we do work with network rail to try and reduce any problems ^cb"
1202,VirginTrains,False,"@115923 I understand the frustration this causes, Andy ^CB","<user> i understand the frustration this causes, andy ^cb"
1204,VirginTrains,False,@115923 Sadly the service has been delayed due to a fault on the line ^CB,<user> sadly the service has been delayed due to a fault on the line ^cb
1206,VirginTrains,False,"@115923 Hi Andy, really sorry to hear this. Which service are you travelling on please? ^HP","<user> hi andy, really sorry to hear this. which service are you travelling on please? ^hp"
1208,VirginTrains,False,@115924 Some lines will be reopening shortly so you'll get through but delays are expected ^CB,<user> some lines will be reopening shortly so you'll get through but delays are expected ^cb
2041,VirginTrains,False,@116159 Happy the team could help 😊 ^CB,<user> happy the team could help <emoji> ^cb
3115,VirginTrains,False,@116421 Good night Becky ^JH,<user> good night becky ^jh
3117,VirginTrains,False,"@116422 Hi Joanne, we have this service reported 1 minute early arriving into Birmingham New Street and 12' minutes late arriving into Wolverhampton. ^JH","<user> hi joanne, we have this service reported 1 minute early arriving into birmingham new street and 12' minutes late arriving into wolverhampton. ^jh"
4215,VirginTrains,False,@116699 Services are still meeting with delays at Preston while the station is closed. ^SB,<user> services are still meeting with delays at preston while the station is closed. ^sb
1193,VirginTrains,False,#VTUPDATE Some lines will be reopened shortly https://t.co/2KqKJLRjei,hashtag vtupdate some lines will be reopened shortly <url>
5854,VirginTrains,False,@117110 When are you looking to travel? ^LC,<user> when are you looking to travel? ^lc
5856,VirginTrains,False,@117110 If you could DM your journey details/booking reference we can take a look in to this and reserve the spaces where possible ^CB https://t.co/hhfk9bLWWV,<user> if you could dm your journey details/booking reference we can take a look in to this and reserve the spaces where possible ^cb <url>
7503,VirginTrains,False,@117261 Which station is this Alex? ^SB,<user> which station is this alex? ^sb
7506,VirginTrains,False,@117261 Yes that'll be open ^SB,<user> yes that'll be open ^sb
8467,VirginTrains,False,@117489 They should be making their way through during the journey. You can also find the Train Manager in Coach C ^HP,<user> they should be making their way through during the journey. you can also find the train manager in coach c ^hp
8470,VirginTrains,False,"@117489 Sorry to hear that, the Train Manager should be making their way through ^HP","<user> sorry to hear that, the train manager should be making their way through ^hp"
