text,intent,escalate,escalate_reason,human_intent,human_escalate,human_reason,flipped,note
@AppleSupport Well aside from the fact it will be 10 days before I get a refund everything seems ok,purchase_billing_service,0,none,purchase_billing_service,0,none,False,
forgot that you aren’t supposed to type I️ on the iPhone anymore. Oops. @AppleSupport help.,other_out_of_scope,0,none,software_update,0,none,True,"iOS autocorrect I-bug, not other"
1. Kernel panic 2. Take comp to Apple store 3. “Bad ram” 4. Kernel panic 5. “Bad board” 5. Kernel panic 6. “Bad WiFi card. 7. Kernel panic 8. Fixed! 9. Kernel panic 10. Uhhh. @applesupport @115858 TEACH YOUR TECHS HOW TO FIX SOMETHING!!! Worst service ever. 3 weeks w/o a machine,howto_guidance,0,none,hardware_device,1,complaint_review,True,Mac kernel panic + 3wks no machine + abuse -> escalate
Hey @AppleSupport the newest update I did on my 6s has rendered my phone damn near useless. Tell me how to unfuck my phone now please.,software_update,0,none,software_update,1,complaint_review,True,profanity + useless phone -> complaint review
I paid over a 1000$ for your phone. Please fix this keyboard @AppleSupport.,hardware_device,0,none,software_update,0,none,True,iOS11 keyboard bug ambiguous; software over hardware
Imessages no longer work since ios 11.1.1! When will services return to normal? @115858 @AppleSupport https://t.co/pCn2TGMVVE,apps_media,0,none,apps_media,0,none,False,
"@AppleSupport It was AT&amp;T issue. I kept restarting my phone, and that fixed it. Thanks, anyway.",support_access_followup,1,legal_safety,support_access_followup,0,none,True,closure thanks; heuristic legal_safety was false positive
"@AppleSupport my phone randomly restarted today and it deleted all of my music and none of my Apple Music will load, what do I do?",apps_media,1,account_security,apps_media,1,account_security,False,
@AppleSupport It’s 11.0.1.,software_update,0,none,support_access_followup,0,none,True,"short version answer to diagnostic, not new update issue"
@AppleSupport It happens randomly when we are FaceTiming eachother. We can be in the middle of the call and it randomly disconnects. Another strange thing is that we won’t be able to text eachother randomly sometimes. We know it’s not the WiFi because we can do other things and text other ppl.,connectivity,0,none,connectivity,0,none,False,
COOL MY @115858 WATCH QUIT WORKING AFTER A WEEK. AWESOME. @AppleSupport,other_out_of_scope,0,none,hardware_device,1,complaint_review,True,Watch dead after week + sarcasm caps
Four videos are suddenly gone from my phone...would the automatic iCloud backing-up do that? Clear space by transferring them there?? That's the only thing that could make any sense. @AppleSupport,setup_transfer_restore,0,none,setup_transfer_restore,0,none,False,
@AppleSupport my battery has been draining so fast with the IOS 11 update on the iphone 7 plus? help?,battery_power,0,none,battery_power,0,none,False,
@AppleSupport @258323 Any way to stop you advertising?,other_out_of_scope,0,none,other_out_of_scope,0,none,False,
Hey  @115858 @AppleSupport @115858 @116333 what gives? I call @115817 “oops” for a reason. Where is my #iPhoneX ??? https://t.co/t1q7BOlpFU,howto_guidance,0,none,purchase_billing_service,0,none,True,iPhoneX delivery/order status
@AppleSupport Yes I did. From my iPhone 7. But this wasn’t an issue on it...,support_access_followup,1,legal_safety,support_access_followup,0,none,True,heuristic legal_safety FP; vague follow-up -> clarify auto
"@AppleSupport para qué, después de restaurar desde un backup, volvéis a descargar las apps ? Si ya están en el backup. Mi iPhone 8 no acaba!",setup_transfer_restore,0,none,other_out_of_scope,1,unresolvable,True,Spanish non-English v1 -> other + escalate
What do you think? @AppleSupport #iPhone6s Battery broken and damaged screen by battery. Warranty? https://t.co/qOg52adUtf,purchase_billing_service,0,none,hardware_device,1,legal_safety,True,swollen battery damaging screen = safety risk + warranty
"@AppleSupport I am using 10.3.3. This is what is happening whilst connected to 3G - has been happening a while now, regardless of which version I'm using https://t.co/RUuFjhfT8w",connectivity,0,none,connectivity,0,none,False,
@629063 @AppleSupport No one asked you goober,other_out_of_scope,0,none,other_out_of_scope,0,none,False,
"@AppleSupport Updated my macbook 2016 on High Sierra 10.13.1 - can copy, but CAN'T paste anymore - can you please help? thank you!",hardware_device,0,none,software_update,0,none,True,"High Sierra copy/paste regression, not hardware"
"@AppleSupport Yes. Even after repairing devices. It happens intermittently, just an hour ago it was going on and off every 10 seconds. The only device without an issue is Apple Watch.",connectivity,1,legal_safety,connectivity,0,none,True,heuristic legal_safety FP; intermittent BT follow-up
"@AppleSupport @115858 FIX THIS DAMN GLITCH 

It’s been 3 f*cking days 😡",other_out_of_scope,0,none,other_out_of_scope,1,complaint_review,True,vague glitch + profanity 3 days -> escalate
"@AppleSupport Hi, any issue with Apple ID server ? Unable to login /setup Mac or Register APP.",apple_id_icloud,1,legal_safety,apple_id_icloud,0,none,True,server login Q answerable; legal_safety FP
@AppleSupport y’all need to fix Siri or the navigation or whatever .. This bitch just be taking to the wrong places,apps_media,0,none,apps_media,0,none,False,
"@AppleSupport brand new iPhone 8 has switched off by itself when I was sleeping, even though it was on charge and now won't turn on. Any reasons as to why?",setup_transfer_restore,0,none,battery_power,0,none,True,new iPhone8 won't turn on/charging = power
"@AppleSupport 5 Times a day my phone says “no sim” &amp; I have to restart it to make it go away, do I need a new phone https://t.co/f48jvdz33b",setup_transfer_restore,0,none,connectivity,0,none,True,"No SIM/carrier, not restore"
My iPhone takes forever to charge but the battery dies within an hour or 2? @AppleSupport @115858,battery_power,0,none,battery_power,0,none,False,
@AppleSupport restoring an iCloud backup on my new iPhone. Photos and videos haven’t gone across... I’ve erased iPhone and restored several times - what is happening?! 🤭,setup_transfer_restore,0,none,setup_transfer_restore,0,none,False,
@AppleSupport Onde esta Reputation da Taylor Swift pra Apple Music????????????????????,apps_media,0,none,other_out_of_scope,1,unresolvable,True,Portuguese music-availability + non-English
@AppleSupport how do I make an appointment for an Apple store?,purchase_billing_service,0,none,purchase_billing_service,0,none,False,
"In #iOS11 on my iPhone 8 Plus, #message app keyboard keeps changing, sounds turn on and off, I cant fix any of it? Help? @AppleSupport",hardware_device,0,none,software_update,0,none,True,iOS11 keyboard changing/sounds = update bug
"@AppleSupport No, this is the first time ever, and hopefully the last. Should I get my phone to a Mac Store?",purchase_billing_service,0,none,support_access_followup,0,none,True,'No...' answer + store Q secondary; follow-up
@AppleSupport The pause. I forgot the pause. Thank you!,support_access_followup,0,none,support_access_followup,0,none,False,
@AppleSupport Macbook pro late 2011 w/ an SSD and 16gb RAM.,hardware_device,0,none,support_access_followup,0,none,True,"spec drop answering diagnostic, no issue stated"
@AppleSupport Thanks! I solved the problem. There were too many devices connected via bluetooth. It was slowing down my cursor movement. Thanks again!,connectivity,0,none,support_access_followup,0,none,True,"solved + thanks closure, not new BT issue"
my charger legit caught flame yesterday and burned my finger... @AppleSupport,support_access_followup,0,none,hardware_device,1,legal_safety,True,CRITICAL: charger flame + burned finger; weak missed safety
"Facebook app on iPhone SE running iOS 11. Is the app, the phone or the OS the issue here? @AppleSupport (that's the app crashing btw) https://t.co/cuw6DVT7I5",apps_media,1,legal_safety,apps_media,0,none,True,FB crash; legal_safety FP
@115858 @AppleSupport does it make since to do two time restore in the last 3 days and no proper support from your team !!! Really disappointed.,setup_transfer_restore,0,none,setup_transfer_restore,1,complaint_review,True,2 restores + disappointed -> complaint
@AppleSupport How do I stop Messages from taking Live photos? It's disabled everywhere but Messages doesn't respect this. Please help!,howto_guidance,0,none,howto_guidance,0,none,False,
@AppleSupport 🤦🏽‍♀️ thank you!!,support_access_followup,0,none,support_access_followup,0,none,False,
@AppleSupport I turned my iPad off and back on again and now they’re updating 😊,software_update,0,none,support_access_followup,0,none,True,"solved-status update, not new update issue"
"@AppleSupport Thanks, didn’t think it was legit. How come such a sudden influx of spam coming to iPhones recently?! That’s my second in the last couple of weeks!!?!",support_access_followup,0,none,apps_media,0,none,True,"spam iMessages influx Q, not follow-up"
@AppleSupport The most recent iOS and a screenshot of what keeps happening.,hardware_device,0,none,support_access_followup,1,unresolvable,True,version + dead screenshot link -> clarify/escalate
"@AppleSupport so I a, wondering Apple if this iOS 11.1.2. Has anything that fixes the severe battery drain on my iPad 4 I got last June? I see fixes for the X but nothing else. I mean iOS 11 11.0.1, 11.0.2, 11.0.3 and 11.1 were all junk so?",battery_power,0,none,battery_power,0,none,False,
I keep getting this error message saying “the item can’t be played” and idk how to fix it... @115948 @AppleSupport,howto_guidance,0,none,apps_media,0,none,True,"playback error in media app, not generic howto"
"@249094 @360878 @AppleSupport Daniel, I feel your pain. Is it your workout data that is not making it across? If so, I might be able to help. Learned a lot from my headache move to a new iPhone.",setup_transfer_restore,0,none,other_out_of_scope,0,none,True,"peer-to-peer help, not customer-to-brand request"
"So I went and called @AppleSupport , the lady was very friendly and nice and she told me it had nothing to do with apple, they don’t handle sms messaging it was a problem with @115911 network",other_out_of_scope,0,none,other_out_of_scope,0,none,False,
@355121 @AppleSupport I want a home button. And i want to save 💰,hardware_device,0,none,other_out_of_scope,0,none,True,home-button feature request/joke
@AppleSupport want to send a commendation to the employee who helped me at the genius bar yesterday. How do I do that?,purchase_billing_service,0,none,support_access_followup,0,none,True,praise/commendation closure
@applesupport how can i fix this problem ? please reply https://t.co/XLYlobPI2m,howto_guidance,0,none,other_out_of_scope,1,unresolvable,True,"'this problem'+dead link, no detail"
@AppleSupport Other people are finding difficulties with Java on High Sierra. Something is not good here Apple. Mostly I’m angry and the unethical policy of choosing not to continue supporting your own software that I paid £750 for!! It’s unacceptable to say that to keep using will cost £199!!,purchase_billing_service,0,none,purchase_billing_service,1,complaint_review,True,angry policy/cost complaint + Java compat
@AppleSupport is there anyone around I could talk to re: Apple renew?,other_out_of_scope,1,human_request,purchase_billing_service,1,human_request,True,talk-to + renew = billing + human
"@AppleSupport  hi, I have a problem w/ my Apple ID. ☹️ can u help me pls? 😭🙏",apple_id_icloud,0,none,apple_id_icloud,0,none,False,
@AppleSupport I will try that and see if it works. And yes both devices are set to AirDrop to everyone.,connectivity,0,none,support_access_followup,0,none,True,'I will try that...' follow-up
