idx,run1_verdict,run1_ground,run1_rel,run1_action,run2_verdict,run2_ground,run2_rel,run2_action,self_consistent
0,PASS,5,4,4,PASS,5,4,4,True
1,PASS,5,4,4,PASS,5,4,4,True
2,FAIL,1,1,1,FAIL,1,1,1,True
3,PASS,5,4,4,PASS,5,4,4,True
4,PASS,5,5,5,PASS,5,5,5,True
5,PASS,5,4,4,PASS,5,4,4,True
6,FAIL,2,1,4,FAIL,2,1,4,True
7,PASS,5,4,4,PASS,5,4,4,True
8,PASS,5,4,4,PASS,5,4,4,True
9,FAIL,5,2,2,FAIL,5,2,2,True
10,PASS,5,5,5,PASS,5,5,5,True
11,PASS,5,5,3,PASS,5,5,3,True
12,PASS,5,4,4,PASS,5,4,4,True
13,PASS,5,4,4,PASS,5,4,4,True
14,PASS,5,5,5,PASS,5,5,5,True
15,FAIL,2,5,5,FAIL,2,5,5,True
16,PASS,5,4,4,PASS,5,4,4,True
17,PASS,5,5,4,PASS,5,5,4,True
18,PASS,5,5,5,PASS,5,5,5,True
19,PASS,5,4,4,PASS,5,4,4,True
20,FAIL,5,2,4,FAIL,5,2,4,True
21,FAIL,2,2,4,FAIL,2,2,4,True
22,PASS,5,5,4,PASS,5,5,4,True
23,PASS,5,5,5,PASS,5,5,5,True
24,FAIL,5,1,4,FAIL,5,1,4,True
25,FAIL,2,1,4,FAIL,2,1,4,True
26,FAIL,5,1,4,FAIL,5,1,4,True
27,FAIL,2,4,4,FAIL,2,4,4,True
28,FAIL,2,2,4,FAIL,2,2,4,True
29,PASS,5,5,4,PASS,5,5,4,True
