tweet_id,author_id,inbound,created_at,text,response_tweet_id,in_response_to_tweet_id
2012561,AppleSupport,False,Sun Nov 05 14:57:54 +0000 2017,@595108 Thank you for reaching out to us. Can you send us a DM and explain what you're experiencing? We'd love to help you out. https://t.co/GDrqU22YpT,,2012508
2008473,438624,True,Wed Oct 18 19:48:48 +0000 2017,@AppleSupport Any advice on extending my iPhone battery since ios11 update? I rely on it for business &amp; the battery is dying in 1/2 a day.,2008470,
2367740,AppleSupport,False,Tue Nov 14 00:12:53 +0000 2017,"@683375 To help resolve this issue we recommend backing up, then updating to iOS 11.1.1. You can learn more about this issue, and how to update, here: https://t.co/xXaXeeSRt9",,2367738
1774697,533332,True,Wed Nov 08 01:38:48 +0000 2017,@AppleSupport fix my keyboard what in the world is “ I️ “,1774696,
1588850,488595,True,Sat Nov 04 19:42:36 +0000 2017,@AppleSupport wtf why are the I’s changing to ?’s,1588849,
449527,221535,True,Thu Nov 30 20:34:25 +0000 2017,@AppleSupport why did my phone just delete all of my text messages?,449526,
1470107,AppleSupport,False,Fri Nov 03 00:32:22 +0000 2017,@461223 We're happy to look into this. DM us and tell us which version of iOS you're running. https://t.co/GDrqU22YpT,1470108,1470109
2898982,AppleSupport,False,Tue Nov 28 17:39:32 +0000 2017,@803137 We know how important battery life is. Let's work together to improve things. Check out: https://t.co/bivpdfBNJ6 Can you DM us the exact version of iOS you are running? https://t.co/GDrqU22YpT,,2898983
1645914,AppleSupport,False,Tue Oct 17 20:33:00 +0000 2017,@364722 Take a look here to see if these steps resolve the issue: https://t.co/mZI2lwDo8o,1645915,1645913
1248388,AppleSupport,False,Thu Oct 26 01:44:53 +0000 2017,@412891 Hi there. Check out these tips to resume the downloads: https://t.co/FgWA1fgP26 Let us know if that fixes it for you.,1248389,1248390
1301885,AppleSupport,False,Fri Oct 27 15:37:39 +0000 2017,"@157656 We appreciate that, thank you! Check out our page here for some helpful info: https://t.co/V2QRdtocGo DM us with any questions. https://t.co/GDrqU22YpT",1301886,1301883
1707032,AppleSupport,False,Mon Nov 06 23:01:00 +0000 2017,@517327 Here’s what you can do to work around the issue until it’s fixed in a future software update: https://t.co/xXaXeeSRt9,,1707033
2313936,AppleSupport,False,Sun Nov 12 23:26:27 +0000 2017,@670990 Let's look into this issue a bit closer. Join us in DM using this link: https://t.co/GDrqU22YpT,,2313937
1677844,AppleSupport,False,Mon Nov 06 15:04:59 +0000 2017,@510338 Let's look at it together. Does your iPhone show the message that is identified in this article: https://t.co/KyywFa9iZ3,1677845,1677846
