idx,text,human_intent,pred_intent,human_esc,pred_esc,pred_reason,draft,heur_ground,heur_verdict
0,Fair to say they got it wrong at Coventry station tonight @VirginTrains. Moving a train to a platform where people were already waiting for a delayed train at short notice wasn’t smart. Pushing and shoving galore. Get me home.,delay_claim,timetable_platform,0,0,none,"Let's check your service — I won't guess times or platforms here (they change). Check live departures, then DM us your from/to + date/time and we'll look it up.",5,PASS
1,It’s not enough that you’re over an hour delayed out of york @VirginTrains but then the train arrives &amp; sits on the platform for fun?Move?,delay_claim,timetable_platform,0,0,none,"Let's check your service — I won't guess times or platforms here (they change). Check live departures, then DM us your from/to + date/time and we'll look it up.",5,PASS
2,@VirginTrains Ok. Have you written about the reasoning behind the new app? Anything at all about the upgrade?,howto_guidance,fare_ticketing,0,0,none,We can point you on fares — I won't quote prices here (they vary by time/type). Check ticket type + railcard before travel. DM us your journey + passenger type and we'll explain options (no payment here).,5,PASS
3,"@127472 @VirginTrains You need to go but another ticket'

I explained that would be impossible as I don't have my wallet now.

She then said, how do we know you",ticket_change_refund,other_out_of_scope,0,0,none,Thanks for reaching out. Please DM us your journey + date/time + brief detail so we can point you correctly. Don't share personal info publicly.,4,FAIL
4,"After Friday's horror show on @VirginTrains London-Manchester, I gave them another try to York. No alternative. Return journey 40 mins late into KingsX, got me in near 140AM. Comp claim for lateness absolutely designed to deter. But it has been filed.",delay_claim,other_out_of_scope,0,0,none,Thanks for reaching out. Please DM us your journey + date/time + brief detail so we can point you correctly. Don't share personal info publicly.,4,FAIL
5,Wow... this train from Oxford to Stockport is ridiculously packed @VirginTrains 😳,complaint_service,complaint_service,1,1,legal_safety,Sorry about your experience. Please share what happened (service/date/time) without personal details here. DM us and we'll log it properly.,4,PASS
6,@nationalrailenq Be able to let people with London midland tickets on the @VirginTrains from cov to Euston to make up for lost time due to the train fault?,delay_claim,lost_property,0,0,none,Sorry you left something behind. Note the service + car/spot if you can. DM us your journey + item description and we'll point you to lost property.,4,PASS
7,@VirginTrains 2/2 to being sardines in a can packed together on the second train meanwhile first class is virtually empty any chance we sit in there pls??,complaint_service,complaint_service,1,1,legal_safety,Sorry about your experience. Please share what happened (service/date/time) without personal details here. DM us and we'll log it properly.,4,PASS
8,@VirginTrains  https://t.co/MRC6T5iDlW,other_out_of_scope,support_access_followup,1,1,unresolvable,"Thanks for following up — we got it. If you sent a DM, we'll review there. Otherwise DM us your booking ref + journey and we'll continue.",4,PASS
9,How many different incidents/excuses can one service have in one day? @nationalrailenq  @VirginTrains https://t.co/g6VbSAt93X,complaint_service,other_out_of_scope,0,0,none,Thanks for reaching out. Please DM us your journey + date/time + brief detail so we can point you correctly. Don't share personal info publicly.,4,FAIL
10,"I was told “Apparently nothing is available, we run a reduced service” ... not a 1st class service from me I’m afraid! Shame on you @VirginTrains, so v disappointing! https://t.co/pNEV9VWoIh",complaint_service,other_out_of_scope,0,0,none,Thanks for reaching out. Please DM us your journey + date/time + brief detail so we can point you correctly. Don't share personal info publicly.,4,FAIL
