text,human_intent,pred_intent,human_esc,pred_esc,human_reason,pred_reason,ground,safety_j,verdict,llm
@153905 @VirginTrains No. I remember your last trip to Brum where the heating was ramped up on @VirginTrains.,accessibility_assistance,other_out_of_scope,0,0,none,none,4,5,PASS,no-key: heuristic only (set OPENAI_API_KEY for gpt-4o-mini run)
"Thankyou @VirginTrains for not informing me of a change of platform, making me miss my advance booked trains from chorley to Leicester",timetable_platform,timetable_platform,0,0,none,none,5,5,PASS,no-key: heuristic only (set OPENAI_API_KEY for gpt-4o-mini run)
@VirginTrains @146946 After 2 hours of waiting in the cold Preston station with limited info I did eventually get on a replacement bus yes. I do feel however that there was absolutely no need for your employ at Lancaster station to get involved. How can I forward a formal complaint about him?,complaint_service,complaint_service,0,0,none,none,4,5,PASS,no-key: heuristic only (set OPENAI_API_KEY for gpt-4o-mini run)
"@VirginTrains Advised of a £10 admin fee. Once only once transaction went through they revealed £10, per person, per ticket. Out and return.",ticket_change_refund,other_out_of_scope,1,1,money_threshold,unresolvable,4,5,PASS,no-key: heuristic only (set OPENAI_API_KEY for gpt-4o-mini run)
@VirginTrains Why no bus replacement between Bangor &amp; Chester where no flooding - or advice to on local trains from Bangor towards Chester to catch Virgin London train?,timetable_platform,other_out_of_scope,0,0,none,none,4,5,PASS,no-key: heuristic only (set OPENAI_API_KEY for gpt-4o-mini run)
"@341297 @VirginTrains @59 Sorry about that, what time/service train was this on? ^MS",other_out_of_scope,timetable_platform,1,0,unresolvable,none,5,5,PASS,no-key: heuristic only (set OPENAI_API_KEY for gpt-4o-mini run)
@VirginTrains Please could you declassify First Class on the 1520 B'ham Int to Euston?  So busy I can't get to my reserved seat. Thank you!,complaint_service,complaint_service,0,0,none,none,4,5,PASS,no-key: heuristic only (set OPENAI_API_KEY for gpt-4o-mini run)
"Another day, another delayed train @VirginTrains #brokenbritain",delay_claim,delay_claim,0,0,none,none,4,5,PASS,no-key: heuristic only (set OPENAI_API_KEY for gpt-4o-mini run)
"@VirginTrains Yeah thanks for that, forget that I’m now going to be late arriving into Edinburgh. Booked those specific times for a reason. Don’t fly get the train oh say, yeah right but won’t get you there on time though. Pathetic service from a pathetic company.",delay_claim,timetable_platform,1,1,complaint_review,unresolvable,5,5,PASS,no-key: heuristic only (set OPENAI_API_KEY for gpt-4o-mini run)
Does anyone know where the 5:40 from Glasgow is? Apparently @VirginTrains have lost it,timetable_platform,lost_property,0,0,none,none,4,5,PASS,no-key: heuristic only (set OPENAI_API_KEY for gpt-4o-mini run)
