text,human_intent,pred_intent,human_esc,pred_esc,human_reason,pred_reason,ground,safety_j,verdict,llm
@629063 @AppleSupport No one asked you goober,other_out_of_scope,other_out_of_scope,0,0,none,none,5,5,PASS,no-key: heuristic only (set OPENAI_API_KEY for gpt-4o-mini run)
"@AppleSupport Hi, it’s not an order, it’s a reservation confirmation # and the chat and phone number can’t be connected with.",connectivity,connectivity,0,1,none,unresolvable,5,5,PASS,no-key: heuristic only (set OPENAI_API_KEY for gpt-4o-mini run)
"@AppleSupport Updated my macbook 2016 on High Sierra 10.13.1 - can copy, but CAN'T paste anymore - can you please help? thank you!",software_update,hardware_device,0,0,none,none,5,5,PASS,no-key: heuristic only (set OPENAI_API_KEY for gpt-4o-mini run)
@AppleSupport Onde esta Reputation da Taylor Swift pra Apple Music????????????????????,other_out_of_scope,apps_media,1,0,unresolvable,none,5,5,PASS,no-key: heuristic only (set OPENAI_API_KEY for gpt-4o-mini run)
@AppleSupport I have it connected with my PS4,connectivity,connectivity,0,0,none,none,5,5,PASS,no-key: heuristic only (set OPENAI_API_KEY for gpt-4o-mini run)
@AppleSupport None of that is new to me. Battery was fine (only a few months old after being replaced) prior to iOS 11 and now it drains extremely fast.,battery_power,battery_power,0,0,none,none,5,5,PASS,no-key: heuristic only (set OPENAI_API_KEY for gpt-4o-mini run)
"@AppleSupport macOS Sierra 10.12.6 (13"" MacBook Pro with Touch Bar)",hardware_device,hardware_device,0,0,none,none,5,5,PASS,no-key: heuristic only (set OPENAI_API_KEY for gpt-4o-mini run)
@AppleSupport fam I need some help with my apple id can u help me out pls,apple_id_icloud,apple_id_icloud,0,0,none,none,5,5,PASS,no-key: heuristic only (set OPENAI_API_KEY for gpt-4o-mini run)
@AppleSupport I’m getting the following error when trying to access my Apple ID - iPhone 6s plus (11.0.3).  HELP!! https://t.co/qPPhunkwEs,apple_id_icloud,apple_id_icloud,0,0,none,none,5,5,PASS,no-key: heuristic only (set OPENAI_API_KEY for gpt-4o-mini run)
@AppleSupport Thank you. My keyboard doesnot seem to connect. When I do’nt use the keyboard I don’t get that  notification. What’s wrong? https://t.co/qGmbAWZtFJ,connectivity,hardware_device,0,0,none,none,5,5,PASS,no-key: heuristic only (set OPENAI_API_KEY for gpt-4o-mini run)
