idx,llm_model,llm_ground,llm_action,llm_voice,llm_safety,llm_rel,llm_overall,llm_verdict,llm_note
0,qwen/qwen3.8-27b,5,4,5,5,4,4.65,PASS,llm-ok
1,qwen/qwen3.8-27b,5,4,5,5,4,4.65,PASS,llm-ok
2,qwen/qwen3.8-27b,1,1,4,5,1,2.05,FAIL,llm-ok
3,qwen/qwen3.8-27b,4,4,5,5,4,4.3,PASS,llm-ok
4,qwen/qwen3.8-27b,5,4,5,5,4,4.65,PASS,llm-ok
5,qwen/qwen3.8-27b,5,4,5,5,5,4.75,PASS,llm-ok
6,qwen/qwen3.8-27b,1,4,4,5,1,2.8,FAIL,llm-ok
7,qwen/qwen3.8-27b,4,4,5,5,4,4.3,PASS,llm-ok
8,qwen/qwen3.8-27b,4,4,5,5,4,4.3,PASS,llm-ok
9,qwen/qwen3.8-27b,5,4,5,5,4,4.65,PASS,llm-ok
10,qwen/qwen3.8-27b,4,4,5,5,4,4.3,PASS,llm-ok
11,qwen/qwen3.8-27b,2,2,4,5,2,2.75,FAIL,llm-ok
12,qwen/qwen3.8-27b,4,4,5,5,4,4.3,PASS,llm-ok
13,qwen/qwen3.8-27b,4,4,4,5,4,4.15,PASS,llm-ok
14,qwen/qwen3.8-27b,4,4,5,5,4,4.3,PASS,llm-ok
15,qwen/qwen3.8-27b,4,4,4,5,4,4.15,PASS,llm-ok
16,qwen/qwen3.8-27b,4,4,5,5,4,4.3,PASS,llm-ok
17,qwen/qwen3.8-27b,2,4,5,5,3,3.5,FAIL,llm-ok
18,qwen/qwen3.8-27b,5,5,5,5,5,5.0,PASS,llm-ok
19,qwen/qwen3.8-27b,2,4,4,5,3,3.35,FAIL,llm-ok
20,qwen/qwen3.8-27b,4,4,5,5,4,4.3,PASS,llm-ok
21,qwen/qwen3.8-27b,2,4,5,5,1,3.3,FAIL,llm-ok
22,qwen/qwen3.8-27b,2,2,4,5,2,2.75,FAIL,llm-ok
23,qwen/qwen3.8-27b,1,1,5,5,1,2.2,FAIL,llm-ok
24,qwen/qwen3.8-27b,2,4,4,5,1,3.15,FAIL,llm-ok
25,qwen/qwen3.8-27b,2,4,5,5,3,3.5,FAIL,llm-ok
26,qwen/qwen3.8-27b,1,1,5,5,1,2.2,FAIL,llm-ok
27,qwen/qwen3.8-27b,2,4,5,5,4,3.6,FAIL,llm-ok
28,qwen/qwen3.8-27b,2,4,5,5,2,3.4,FAIL,llm-ok
29,qwen/qwen3.8-27b,2,4,5,5,4,3.6,FAIL,llm-ok
