tweet_id,text,pred_intent,margin,query_strategy
1119697,@VirginTrains is considerably cheaper online. Really unfair to be honest since I've already paid for a train ticket I couldn't use.,fare_ticketing,0.0,margin
2451389,@120576 @VirginTrains Sounds like this line has frequent issues ..was also delayed for an hour on the way upto Edinburgh Friday. How do I formalize my complaint?,complaint_service,0.0001,margin
1614087,My mum is having a hellish journey from Kings X to Leeds thanks to @VirginTrains - left behind in Peterborough because the coach she was supposed to get on was too full to take all passengers.,complaint_service,0.0001,margin
2249297,@VirginTrains Christmas spirit,other_out_of_scope,0.0001,margin
1759108,@virgintrains the 5 train to Newcastle (peak) had tons of space the 6 (off) is booked out. All wrong,ticket_change_refund,0.0002,margin
851055,@VirginTrains because of this reservation idea I was late for my train and had to wait an hour because no one told me this anywhere 🖒2/2,delay_claim,0.0002,margin
121159,@VirginTrains why do your tickets cost so much when your Wi-Fi doesn't even work?,other_out_of_scope,0.0007,margin
1664242,@VirginTrains Top drawer ^HP,support_access_followup,0.0007,margin
912638,"@VirginTrains good to see the app updates on expired tickets, but you should admit the buying is wrong. Go back to old. 😕",other_out_of_scope,0.0011,margin
2437846,"@699293 @VirginTrains I think what the lady is implying. You should let on  enough for seated booked. Quota for non seated. That's all, not weight tested.",complaint_service,0.0011,margin
796211,@309841 @VirginTrains Cheers! https://t.co/csaQs2XY9g,other_out_of_scope,0.0012,margin
621622,@VirginTrains Yes you can. My father booked some London train tickets the wrong way round and now no offer to help or refund the tickets! Disgusting! My father is a pensioner!!,complaint_service,0.0015,margin
1640406,@VirginTrains can I use off peak ticket on peak train tomorrow as trains cancelled today?,howto_guidance,0.0017,margin
1894759,@VirginTrains Will try!,other_out_of_scope,0.0017,margin
1860928,@VirginTrains help! I'm on the 9.10am train to Chester tomorrow and my printer has just ran out of black ink. The ticket is very faint. Will I be ok using the faint ticket and the pdf on my phone? 🙏,fare_ticketing,0.0018,margin
413873,@VirginTrains I've reported on there thanks for the link. 90 mins standing already and 30 mins to continue standing. Entirely due to virgin trains. I'm so angry.,delay_claim,0.0018,margin
1329565,@VirginTrains My son is stuck at Euston - his train to Lancaster was meant to leave 45 mins ago.  Should he come home or will any train be leaving Euston for Lancaster today?,other_out_of_scope,0.002,margin
2394112,@VirginTrains Use the app for booking but also logged into the main site too; my number used to be auto stored and since you upgraded the app it isn’t!,fare_ticketing,0.002,margin
163758,@VirginTrains waiting for the 8pm to manchester piccadilly from euston and it says the train is delayed.. can you tell me if the train is going to be on time?,delay_claim,0.002,margin
2878416,Announcement on @VirginTrains NE “we advise passengers in coach H to move carriages as heating is broken &amp; it won’t be getting warmer” 🙄,complaint_service,0.0021,margin
2812036,"@VirginTrains As a member of the Traveller Club I expect my journeys, especially at this time of the morning, to be free of existential angst. Install a more agreeable disembodied voice in the loo for my return journey.",complaint_service,0.0023,margin
1879672,"@VirginTrains So, on 18:42 out of Coventry to GLC.  Advertised as dinner service train, and confirmed by yourselves as hot meal before Woverhampton. Can you guess the frustrating, and disappointing reality? #Hangry",other_out_of_scope,0.0023,margin
602050,@VirginTrains What’s that supposed to mean??!! This is a scheduled train so is it not reasonable to expect that water will be allocated to the train?? #appallingresponse,complaint_service,0.0023,margin
747308,@VirginTrains It would be but no staff have seen us in the entire journey and the train is now too full to move up and down the carriage,other_out_of_scope,0.0023,margin
2960918,@706765 @VirginTrains @124107 You will need to speak to one of their employees on arrival. ^SH,timetable_platform,0.0027,margin
492999,Brilliant. Train broken down just outside Euston.  No idea how long till towed back to Euston. Would be quicker to walk back if let us out! They’ve turned electricity off &amp; below a snapshot in carriage. Worrying they handing out hand warmers &amp; blankets...  @VirginTrains 😡👎🏿 https://t.co/L7M7bljYJu,other_out_of_scope,0.0027,margin
550283,@VirginTrains Any answer??????,support_access_followup,0.0027,margin
1790209,"@GWRHelp @VirginTrains &amp; sure, I'll email. When the train is 'being prepared' u would think that includes toilets. Seems not #ungreatwestern",complaint_service,0.0028,margin
2703916,"😡 after travel from Edin to Kingx. Train cancelled, meaning we spent 4 hrs in aisle with baby. If the alternative train was this busy we should have been informed. We wouldn't have got on! BF baby in toilet #notgoodenoughvirgintrains @VirginTrains #howmuchspace£250buysyou https://t.co/KIkZyLA7xe",delay_claim,0.0028,margin
1611324,@VirginTrains Hi is the 12.15 train to Liverpool from Euston due to run,timetable_platform,0.0029,margin
2556448,@VirginTrains Ok cheers,support_access_followup,0.0031,margin
2299334,"My Week Ahead:
Monday: Packing, GP appt, @667395 Public Meeting 🌈, Packing
Tuesday: Packing, Nurse appt, @667396 work, Worrying if I've packed ok,
Wednesday: 🚆@VirginTrains &amp; @120576 to COV-ABD
Thursday: ????
Friday: ✈️ @3129 &amp; @AmericanAir ABZ-GRR!",other_out_of_scope,0.0032,margin
478375,@VirginTrains on the EC train to London Kings Cross due in at 1.49pm.. coach E has no power for anyone to use the sockets. Pretty rubbish for people who have been travelling since early morning #deadbattery,complaint_service,0.0034,margin
41097,@VirginTrains Just sent it,support_access_followup,0.0036,margin
1652569,@VirginTrains how can your on-train reservations show a seat booked from rugby to London but then someone turn up with a ticket from wolves?,howto_guidance,0.0039,margin
1184858,@VirginTrains Any idea when the 15:47 from Liverpool will be allowed to leave?,timetable_platform,0.004,margin
1327085,@VirginTrains Services?,other_out_of_scope,0.0041,margin
489336,"@VirginTrains @127472 which numbers haven't I called. It's amazing you do such a great job hiding all UK landline numbers, well done - way to avoid calls from very angry customers unable to get assistance from your call centre staff. If I could never use your services again, I would happily boycott..",accessibility_assistance,0.0042,margin
815760,@VirginTrains How is it fair for you to ask people to pay £150+ for a ticket and then offer such an informed knowledge of mishaps? An utter disgrace.,other_out_of_scope,0.0042,margin
2725667,"Hi @VirginTrains , trying to take advantage of your 50% off tickets deal for Jan-March but when I try to book for Feb I'm told it's too early - anything you can do? Thanks!",ticket_change_refund,0.0043,margin
939956,So many adults/ children with tickets standing throughout carriages and doorways of @VirginTrains London Euston - Glasgow 13.30.,other_out_of_scope,0.0046,margin
2734516,@VirginTrains is the 17.07 going right to Liverpool or will it be canceled?  At runcorn,delay_claim,0.0047,margin
2134029,@VirginTrains 19:00 from Euston to Manchester Piccadilly. Carl couldn't have done enough for us #impressive #CustomerService #thankyou,other_out_of_scope,0.0047,margin
983186,@VirginTrains I am booked on the 7:36 euston to mcr Piccadilly train this evening. Any chance I can come back on an earlier train.,support_access_followup,0.0047,margin
2351510,@VirginTrains some dinner?,other_out_of_scope,0.0048,margin
1271531,@VirginTrains @VirginTrains do you know when the iOS app will be fixed? I am unable to download any of my m-tickets.,other_out_of_scope,0.0048,margin
1249151,@VirginTrains I had 4 tickets as travelling as family do I fill claim form for each ticket or 1 form to cover us all,other_out_of_scope,0.0049,margin
2819570,@VirginTrains I’m awake Joel!,other_out_of_scope,0.005,margin
2570547,Can’t remember the last time all went smoothly on my @VirginTrains #Euston - #BirminghamNewStreet train https://t.co/d0ZqvK0MVm,timetable_platform,0.005,margin
1996816,@VirginTrains how much would it be for a first class upgrade today Milton Keynes to Chester on the 15.42?,complaint_service,0.0051,margin
606963,@VirginTrains What’s the delay with the 1120 from bham int?  Also how much time can be made up into Euston? #latemeeting,fare_ticketing,0.0051,margin
1438848,@LondonMidland @VirginTrains Help!,other_out_of_scope,0.0051,margin
2605538,@VirginTrains how am I meant to use the mobile ticket when your app doesn't work? Can't login? Due to travel tomorrow - can i get this changed to printed ticket. Really annoyed by this shoddy experience #Shambles,howto_guidance,0.0052,margin
1210426,@VirginTrains @122784 And Haywards Heath,other_out_of_scope,0.0055,margin
