text,intent,escalate,escalate_reason
@AppleSupport Well aside from the fact it will be 10 days before I get a refund everything seems ok,purchase_billing_service,0,none
forgot that you aren’t supposed to type I️ on the iPhone anymore. Oops. @AppleSupport help.,other_out_of_scope,0,none
1. Kernel panic 2. Take comp to Apple store 3. “Bad ram” 4. Kernel panic 5. “Bad board” 5. Kernel panic 6. “Bad WiFi card. 7. Kernel panic 8. Fixed! 9. Kernel panic 10. Uhhh. @applesupport @115858 TEACH YOUR TECHS HOW TO FIX SOMETHING!!! Worst service ever. 3 weeks w/o a machine,howto_guidance,0,none
Hey @AppleSupport the newest update I did on my 6s has rendered my phone damn near useless. Tell me how to unfuck my phone now please.,software_update,0,none
I paid over a 1000$ for your phone. Please fix this keyboard @AppleSupport.,hardware_device,0,none
Imessages no longer work since ios 11.1.1! When will services return to normal? @115858 @AppleSupport https://t.co/pCn2TGMVVE,apps_media,0,none
"@AppleSupport It was AT&amp;T issue. I kept restarting my phone, and that fixed it. Thanks, anyway.",support_access_followup,1,legal_safety
"@AppleSupport my phone randomly restarted today and it deleted all of my music and none of my Apple Music will load, what do I do?",apps_media,1,account_security
@AppleSupport It’s 11.0.1.,software_update,0,none
@AppleSupport It happens randomly when we are FaceTiming eachother. We can be in the middle of the call and it randomly disconnects. Another strange thing is that we won’t be able to text eachother randomly sometimes. We know it’s not the WiFi because we can do other things and text other ppl.,connectivity,0,none
COOL MY @115858 WATCH QUIT WORKING AFTER A WEEK. AWESOME. @AppleSupport,other_out_of_scope,0,none
Four videos are suddenly gone from my phone...would the automatic iCloud backing-up do that? Clear space by transferring them there?? That's the only thing that could make any sense. @AppleSupport,setup_transfer_restore,0,none
@AppleSupport my battery has been draining so fast with the IOS 11 update on the iphone 7 plus? help?,battery_power,0,none
@AppleSupport @258323 Any way to stop you advertising?,other_out_of_scope,0,none
Hey  @115858 @AppleSupport @115858 @116333 what gives? I call @115817 “oops” for a reason. Where is my #iPhoneX ??? https://t.co/t1q7BOlpFU,howto_guidance,0,none
@AppleSupport Yes I did. From my iPhone 7. But this wasn’t an issue on it...,support_access_followup,1,legal_safety
"@AppleSupport para qué, después de restaurar desde un backup, volvéis a descargar las apps ? Si ya están en el backup. Mi iPhone 8 no acaba!",setup_transfer_restore,0,none
What do you think? @AppleSupport #iPhone6s Battery broken and damaged screen by battery. Warranty? https://t.co/qOg52adUtf,purchase_billing_service,0,none
"@AppleSupport I am using 10.3.3. This is what is happening whilst connected to 3G - has been happening a while now, regardless of which version I'm using https://t.co/RUuFjhfT8w",connectivity,0,none
@629063 @AppleSupport No one asked you goober,other_out_of_scope,0,none
"@AppleSupport Updated my macbook 2016 on High Sierra 10.13.1 - can copy, but CAN'T paste anymore - can you please help? thank you!",hardware_device,0,none
"@AppleSupport Yes. Even after repairing devices. It happens intermittently, just an hour ago it was going on and off every 10 seconds. The only device without an issue is Apple Watch.",connectivity,1,legal_safety
"@AppleSupport @115858 FIX THIS DAMN GLITCH 

It’s been 3 f*cking days 😡",other_out_of_scope,0,none
"@AppleSupport Hi, any issue with Apple ID server ? Unable to login /setup Mac or Register APP.",apple_id_icloud,1,legal_safety
@AppleSupport y’all need to fix Siri or the navigation or whatever .. This bitch just be taking to the wrong places,apps_media,0,none
"@AppleSupport brand new iPhone 8 has switched off by itself when I was sleeping, even though it was on charge and now won't turn on. Any reasons as to why?",setup_transfer_restore,0,none
"@AppleSupport 5 Times a day my phone says “no sim” &amp; I have to restart it to make it go away, do I need a new phone https://t.co/f48jvdz33b",setup_transfer_restore,0,none
My iPhone takes forever to charge but the battery dies within an hour or 2? @AppleSupport @115858,battery_power,0,none
