idx,path,g_ground,g_action,g_voice,g_safety,g_rel,g_overall,g_verdict,note
0,groq,5,4,5,5,4,4.65,PASS,llm-ok
1,groq,3,4,4,5,4,3.8,PASS,llm-ok
2,groq,2,2,4,5,3,2.8499999999999996,FAIL,llm-ok
3,groq,3,4,5,5,4,3.9499999999999997,PASS,llm-ok
4,groq,2,4,5,5,4,3.6,FAIL,llm-ok
5,groq,4,4,5,5,5,4.4,PASS,llm-ok
6,groq,2,3,4,5,2,3.0,FAIL,llm-ok
7,groq,4,4,5,5,5,4.4,PASS,llm-ok
8,groq,4,4,5,5,4,4.3,PASS,llm-ok
9,groq,2,3,4,5,3,3.0999999999999996,FAIL,llm-ok
10,groq,2,4,5,5,4,3.6,FAIL,llm-ok
11,groq,1,4,5,5,4,3.25,FAIL,llm-ok
12,groq,4,4,5,5,4,4.3,PASS,llm-ok
13,groq,4,4,5,5,4,4.3,PASS,llm-ok
14,groq,4,4,5,5,5,4.4,PASS,llm-ok
15,groq,5,5,5,5,5,5.0,PASS,llm-ok
16,groq,5,5,5,5,5,5.0,PASS,llm-ok
17,groq,2,3,4,5,4,3.1999999999999997,FAIL,llm-ok
18,groq,5,5,5,5,5,5.0,PASS,llm-ok
19,groq,4,4,5,5,4,4.3,PASS,llm-ok
20,groq,4,4,5,5,5,4.4,PASS,llm-ok
21,groq,2,4,5,5,4,3.6,FAIL,llm-ok
22,template,2,2,4,5,2,2.75,FAIL,llm-ok
23,groq,2,3,4,5,4,3.1999999999999997,FAIL,llm-ok
24,groq,1,1,4,5,1,2.05,FAIL,llm-ok
25,groq,2,4,5,5,2,3.4000000000000004,FAIL,llm-ok
26,groq,2,4,5,5,4,3.6,FAIL,llm-ok
27,groq,2,4,5,5,4,3.6,FAIL,llm-ok
28,groq,2,4,4,5,4,3.4499999999999997,FAIL,llm-ok
29,groq,4,4,5,5,5,4.4,PASS,llm-ok
