pack_id,text,context_prior_1,context_prior_2,human_intent,human_escalate,human_reason
relabel_00,@497060 @VirginTrains Are u joking?! Poor person has lost their life and in such a horrific way and you’re moaning about some water which was probs less than £2?!,"@VirginTrains Waited &gt;1 hour for the 5:11pm Coventry to London Euston, only to find out it's now cancelled... you've really outdone yourself this time VT","@VirginTrains Hi, what time is next train?...traveling with a 3 year old .. can you ask a supervisor? Thanks",,,
relabel_01,@VirginTrains So £10 on top of the £41 fare,"@348922 Sorry I've just read that you were talking about the 27th December, the cost will be £10 per child ticket. ^PA",@VirginTrains And 1st class return,,,
relabel_02,"@VirginTrains @120576 Their advice was that they are only contracted to get me there, not on time or with a seat, despite pre booking.",@132794 @VirginTrains That's not @VirginTrains service as they don't go that way. @120576 may be able to help though,@132794 Looks as though you are travelling with @120576 today and therefore they would be best to advise. ^BT,,,
relabel_03,@VirginTrains can you pls confirm the 1905 from PTN to EUS yesterday was cancelled?,,,,,
relabel_04,@VirginTrains have absolutely no idea how to deal with a crisis! #strandedyetagain #noinformation #scarycrowds #toomanypeople #noorganisation #wouldneverhappeninaschool https://t.co/DpWw5sdS35,,,,,
relabel_05,@VirginTrains Can I DM you?,"@189029 Hi Francesca, what type of ticket do you have please? ^HP","@VirginTrains Hi, I'm due at Euston Way earlier than expected. Is there any chance I can get an earlier train home with my later ticket?",,,
relabel_06,@120576 @VirginTrains @281419 Hello folks…the 2008 Leeds to Edinburgh is a @121428 service. Their Lost Property details at https://t.co/29R095OLgo 😌,"@VirginTrains @281419 Hi, you'll need to report the Lost property here: https://t.co/ztDQ7iPa8A ^MS",@281419 @120576 Are you able to help? ^LC,,,
relabel_07,"3rd week in a row getting to Euston to find out my train to Manchester is delayed, sort it out @VirginTrains 😞😞",,,,,
relabel_08,@VirginTrains @135993 Last year he renewed it at Stoke. the ticket office staff were less than impressed at somebody paying in £11k in cash in £20’s! Solution?,"@435910 @135993 We would advise speaking to station staff about this, as ticket office staff will be able to advise further on this ^HP",@VirginTrains @135993 So if we both brought ID could this be done?,,,
relabel_09,@VirginTrains what is your policy for a traveller with lost tickets when confirmation and payment card are available as proof of purchase?,,,,,
relabel_10,"@VirginTrains Wowzers, strawberry trifle for afters. They're going to have to role me off this train! 😋 #tnwbbontour https://t.co/owu5Fuztrp",@318864 Looking good! ^MW,Dining at 125 MPH... A creamy Mushroom Stroganoff for dinner courtesy of @VirginTrains. 😋 #tnwbbontour https://t.co/H1E5D7PmRy,,,
relabel_11,"@VirginTrains Thanks, I'll keep an eye on things.","@427643 One service is about to travel over the bridge at a reduced speed, but we don't have an estimated time for the line to reopen","@VirginTrains OK thanks, so you don't expect the line to Euston to be open soon I guess.",,,
relabel_12,"@VirginTrains Yeah thanks for that, forget that I’m now going to be late arriving into Edinburgh. Booked those specific times for a reason. Don’t fly get the train oh say, yeah right but won’t get you there on time though. Pathetic service from a pathetic company.","@137504 Sorry for that Craig, you can get the next available service. ^PA","@VirginTrains 16:35 departure from Chester now 7mins and still still not moved as no train manager on board.  No announcement or communication and now I’ll miss my connection. Poor, very poor service.",,,
relabel_13,@VirginTrains Safety reasons? Most trains don't have a train manager. It's delayed so people from 3 trains on one now. It hot and food shop is closed. 🙄🙄🙄,@VirginTrains @430250 Refund??,"@430250 Apologies Peter, we can't let the service depart without a Train Manager onboard for safety reasons ^HP",,,
relabel_14,"@VirginTrains Thanks, booked 🤗 if there would be any chance of any upgrades we would really appreciate it! 😘","@288133 Absolutely Rachel, we'd advise booking this one asap to secure the best possible price 😊  ^HP",@VirginTrains Thanks. Would you advise booking the outward journey now on an advance ticket? I don't want to end up holding off and that ticket ending up going up in price?,,,
relabel_15,@VirginTrains I’ve a ticket with 16-25 railcard for this evening. Card has expired though. Can I buy new card from you at Euston?,,,,,
relabel_16,@VirginTrains I have some complimentary tickets which I am wanting to use. I have used them in the past but I have lost the link. Can you help.,@434718 How can we help? ^BT,@VirginTrains Can anyone help with advice regarding booking some tickets.,,,
relabel_17,@VirginTrains Looks like I’m not getting any food as we are only 20m out of London. This is hardly accessibility. Won’t be doing this again 😢,@129868 I'm still waiting to hear back from the Train Manager regarding this ^CB,@VirginTrains Great. They’ve just closed the shop 🙄,,,
relabel_18,@nationalrailenq Be able to let people with London midland tickets on the @VirginTrains from cov to Euston to make up for lost time due to the train fault?,,,,,
relabel_19,@VirginTrains Voicemail left with your lost property team...,@VirginTrains Just asking some human help here... :(,"@VirginTrains Yep, as explained tried this!",,,
relabel_20,@VirginTrains Good Morning from out here in the East 👍🏻🚂,Morning! ^HP &amp; ^CB are here to answer your tweets. How's your Wednesday looking? https://t.co/rAdyTnpHnx,,,,
relabel_21,@120576 @VirginTrains @232537 Sorry - assumed it was you because it was your ticket office.,@403364 @VirginTrains This is actually one for @232537 who operate that service. ^KM,@120576 @VirginTrains 0814,,,
relabel_22,"Wooooo! @VirginTrains East Coast on time, non stop Edinburgh to Newcastle, and we have our table to ourselves 🙌🏻 https://t.co/HoR7OOKerW",,,,,
relabel_23,@VirginTrains They were advanced off peak tickets,"@689844 The only tickets that would change price would be Advance fares, Off Peak and Anytime tickets will remain the same. ^PA",@VirginTrains The tickets are very expensive to start with and have just doubled in price,,,
relabel_24,@VirginTrains how do I force the landing page for train Wi-Fi to appear again ? I’m connected to the network but no websites will load and the landing page won’t either,,,,,
relabel_25,@VirginTrains I have claimed but lost one of my tickets for the journey on the Friday will that matter has I have my second train ticket and receipt,"@262266 I see, please then claim for the delay here - https://t.co/u80ls456nj ^MW",@VirginTrains Yes I travelled later on the Friday and had to get completely different train yesterday as it was cancelled,,,
relabel_26,"@VirginTrains your staff at Glasgow central booking office are completely incompetent,I was given wrong and false information on 14/8/2017",,,,,
relabel_27,When you realise your train ticket is booked in the @VirginTrains 'Quiet Coach' 🤣🤣🤣 @148328 what were you thinking! #quietmeanspartyright,,,,,
relabel_28,@VirginTrains Can I use my ticket on east midland trains? From East mids parkway to st pancreas?,@255099 Use this link &gt; https://t.co/KSVvkIsl9s  ^OL,@VirginTrains We need to be London for 11:00. What happens about compensation ?,,,
relabel_29,Long trip on @VirginTrains today. Ridiculous they still charge (sweetly) for WiFi unlike @124107 free,,,,,
