tweet_id,author_id,inbound,text,clean
1177,115919,True,@VirginTrains so i wait almost 3 hours and then they are rude and arrogant &amp; unhelpful after which she is raising a technical case https://t.co/yi9oxFMatO,<user> so i wait almost 3 hours and then they are rude and arrogant & unhelpful after which she is raising a technical case <url>
1179,115920,True,@VirginTrains thanks!,<user> thanks!
1180,115920,True,"@VirginTrains hi! i need some help with a booking i need to change, and made a mistake on. who can i contact?","<user> hi! i need some help with a booking i need to change, and made a mistake on. who can i contact?"
1182,115919,True,"Gotta luv @VirginTrains finally get 2 call cntr, they tried to charge me £176 for a ticket which can b purchased for £88 online https://t.co/I7rkohYqaI","gotta luv <user> finally get 2 call cntr, they tried to charge me £176 for a ticket which can b purchased for £88 online <url>"
1184,115921,True,"@VirginTrains Thanks, see it now. Real shame about how poor the new App is though.","<user> thanks, see it now. real shame about how poor the new app is though."
1185,115921,True,@VirginTrains Hi- does the new app have an option to buy an open return?,<user> hi- does the new app have an option to buy an open return?
1187,115922,True,@VirginTrains Thanks,<user> thanks
1188,115922,True,@VirginTrains My daughter is on the Euston train stuck just outside Preston. Any timeframes for arrival?,<user> my daughter is on the euston train stuck just outside preston. any timeframes for arrival?
1199,115923,True,"@VirginTrains What are your targets for next season? I see your prices go up, so I assume you've set performance targets reflective of that.","<user> what are your targets for next season? i see your prices go up, so i assume you've set performance targets reflective of that."
1201,115923,True,"@VirginTrains Oh, that's nice. What are you doing about it? What are you targets next year?","<user> oh, that's nice. what are you doing about it? what are you targets next year?"
1203,115923,True,"@VirginTrains Always some supposedly acceptable reason, yes I get that, but when one uses the trains every week and spends a lot of money, for it to be late regularly is just not acceptable.","<user> always some supposedly acceptable reason, yes i get that, but when one uses the trains every week and spends a lot of money, for it to be late regularly is just not acceptable."
1205,115923,True,@VirginTrains The 06:20 from Euston. Now I'm here waiting on the 19:00 from B'ham int. Also late.,<user> the 06:20 from euston. now i'm here waiting on the 19:00 from b'ham int. also late.
1207,115923,True,"@VirginTrains For at least the third time this year, I will miss the meeting I especially took the train for in the first place. So often late. No refund because it ""doesn't qualify"". Next season = car.","<user> for at least the third time this year, i will miss the meeting i especially took the train for in the first place. so often late. no refund because it ""doesn't qualify"". next season = car."
1209,115924,True,"@VirginTrains Thanks, we are an hour away so fingers crossed!!","<user> thanks, we are an hour away so fingers crossed!!"
1194,115924,True,@VirginTrains We are enroute to Preston Now from Euston. Will we have to wait it out?,<user> we are enroute to preston now from euston. will we have to wait it out?
2042,116159,True,Thank you @VirginTrains for the advice to make the connection. After a long long day it is appreciated #topwork,thank you <user> for the advice to make the connection. after a long long day it is appreciated hashtag topwork
3116,116421,True,@VirginTrains Night Joel,<user> night joel
3118,116422,True,@VirginTrains can u confirm how long was the delay for 2043 train from London Euston to Bham New Street on 23/11/17? Train announcer even announced it 45mins late. But I’m getting reply for my refund claim that it was 9mins. Pls &amp;Tq,<user> can u confirm how long was the delay for 2043 train from london euston to bham new street on 23/11/17? train announcer even announced it 45mins late. but i’m getting reply for my refund claim that it was 9mins. pls &tq
4216,116699,True,@VirginTrains Are the passengers still stuck,<user> are the passengers still stuck
5855,117110,True,@VirginTrains I’m phoning to check if there is bicycle space before purchasing my tickets. If u could do this it would be brilliant &amp; i’d be very grateful,<user> i’m phoning to check if there is bicycle space before purchasing my tickets. if u could do this it would be brilliant & i’d be very grateful
5857,117110,True,.@VirginTrains I’m trying to get through on the phone to book bicycles onto services. Ive been on hold for ages? Any help available?,. <user> i’m trying to get through on the phone to book bicycles onto services. ive been on hold for ages? any help available?
7504,117261,True,@VirginTrains Preston sorry.,<user> preston sorry.
7505,117261,True,@VirginTrains just wondering if the station will be open tomorrow morning. SSP start around 4am.,<user> just wondering if the station will be open tomorrow morning. ssp start around 4am.
8468,117489,True,@VirginTrains Couldn’t find anyone. Very annoyed by their antics.,<user> couldn’t find anyone. very annoyed by their antics.
8471,117489,True,@VirginTrains No-one came through before we got off at Stafford. I pity the passengers who had to put up with them still on train to London Euston,<user> no-one came through before we got off at stafford. i pity the passengers who had to put up with them still on train to london euston
8473,117489,True,"@VirginTrains Rather have a refund for ticket for the station staff allowing ppl drunk on the train in the 1st place. Racist, foul mouthed louts which scared the kids on the train","<user> rather have a refund for ticket for the station staff allowing ppl drunk on the train in the 1st place. racist, foul mouthed louts which scared the kids on the train"
8475,117489,True,@VirginTrains So you don’t have a duty of care for your passengers then ? These 2 wouldn’t have been allowed into any other premises with their behaviour or would have been promptly removed,<user> so you don’t have a duty of care for your passengers then ? these 2 wouldn’t have been allowed into any other premises with their behaviour or would have been promptly removed
8476,117489,True,@VirginTrains Thanks for ignoring my reply,<user> thanks for ignoring my reply
8469,117489,True,@VirginTrains Where are they located on train ?,<user> where are they located on train ?
8479,117489,True,@VirginTrains any chance you can do something about the 2 drunk ladies causing havoc on the 17.47 from Liverpool lime street to London Euston ? Abusive to fellow passengers &amp; general behaviour leaving a lot to be desired,<user> any chance you can do something about the 2 drunk ladies causing havoc on the 17.47 from liverpool lime street to london euston ? abusive to fellow passengers & general behaviour leaving a lot to be desired
12754,118575,True,"@VirginTrains Hey, how do I apply for a career with Virgin Trains? I’ve checked the website and there’s no application available.","<user> hey, how do i apply for a career with virgin trains? i’ve checked the website and there’s no application available."
19282,120286,True,@VirginTrains It has been closed all week. Can you confirm if it has reopened as what you have just said is totally incorrect.,<user> it has been closed all week. can you confirm if it has reopened as what you have just said is totally incorrect.
19286,120286,True,@VirginTrains The engineer was due to arrive yesterday? Why can't a member of staff stand by the door letting the appropriate people in?,<user> the engineer was due to arrive yesterday? why can't a member of staff stand by the door letting the appropriate people in?
19288,120286,True,@VirginTrains I was there yesterday staff all chatting on the platform &amp; joking around in the office by the platform. I could take a picture and show you,<user> i was there yesterday staff all chatting on the platform & joking around in the office by the platform. i could take a picture and show you
19289,120286,True,@VirginTrains Responding,<user> responding
19290,120286,True,@VirginTrains You just said it was open which is totally misleading for customers. Check facts before reading and not a script.,<user> you just said it was open which is totally misleading for customers. check facts before reading and not a script.
19292,120286,True,@VirginTrains The tweet you sent back is incorrect though and misleading for customers? Wouldn't it be prudent to check before responding?,<user> the tweet you sent back is incorrect though and misleading for customers? wouldn't it be prudent to check before responding?
19283,120286,True,@VirginTrains Is the first class lounge open at Coventry before I purchase a ticket?,<user> is the first class lounge open at coventry before i purchase a ticket?
19294,116610,True,@VirginTrains @115830 It’s a case of VTEC  telling me I’ll hear from them within 10 working days - again.,<user> <user> it’s a case of vtec telling me i’ll hear from them within 10 working days - again.
19295,116610,True,Excellent and prompt customer service from @115830  Take note @VirginTrains  !,excellent and prompt customer service from <user> take note <user> !
19298,120287,True,@VirginTrains Thank you. I will pas that on to my daughter,<user> thank you. i will pas that on to my daughter
19299,120287,True,"@VirginTrains Morning. Do you support Charity Events by donating tickets? (ie a fundraising ""blagged race""","<user> morning. do you support charity events by donating tickets? (ie a fundraising ""blagged race"""
20132,120427,True,@VirginTrains No idea. Not sure the intercoms have been sorted. Whenever I get this service the back set doesn't get messages or seat reservations,<user> no idea. not sure the intercoms have been sorted. whenever i get this service the back set doesn't get messages or seat reservations
20133,120427,True,@VirginTrains It doesn't matter as I don't need it but it's the 0641 off nmp.,<user> it doesn't matter as i don't need it but it's the 0641 off nmp.
20135,120427,True,"'The shop is now open in the front set' err this is a fixed formation train, @VirginTrains and I'm in the back set...","'the shop is now open in the front set' err this is a fixed formation train, <user> and i'm in the back set..."
20861,120575,True,Stood for 45 minutes with my disabled children (no seats on platform) waiting for the late 06:55 @VirginTrains to Newark North Gate. 1/3,stood for 45 minutes with my disabled children (no seats on platform) waiting for the late 06:55 <user> to newark north gate. 1/3
20865,120577,True,Lovely view from @VirginTrains this morning https://t.co/6xQeDFKMfc,lovely view from <user> this morning <url>
20868,120578,True,@VirginTrains Thanks. So it can be done?,<user> thanks. so it can be done?
20869,120578,True,@VirginTrains why can’t we block book seat on season tickets?,<user> why can’t we block book seat on season tickets?
20872,120579,True,"@VirginTrains Thx but TBH I'm in standard today, and not going to pay for something in which I have no confidence. I travel a lot, and I've wasted £'s b4","<user> thx but tbh i'm in standard today, and not going to pay for something in which i have no confidence. i travel a lot, and i've wasted £'s b4"
20875,120579,True,@VirginTrains Also more than halfway through my journey. I'm in 1st tomorrow so we'll see then but it's a shame as u get everything else so right.,<user> also more than halfway through my journey. i'm in 1st tomorrow so we'll see then but it's a shame as u get everything else so right.
20873,120579,True,"@VirginTrains Thx. It drops constantly. It's useless even for email. I'm using 📱 now and was using yesterday in 1st. It's always awful, sorry.","<user> thx. it drops constantly. it's useless even for email. i'm using <emoji> now and was using yesterday in 1st. it's always awful, sorry."
20877,120579,True,@VirginTrains get the customer experience right in every way apart from their wifi—shame that on every journey I end up using my 📱hotspot,<user> get the customer experience right in every way apart from their wifi—shame that on every journey i end up using my <emoji> hotspot
20878,120578,True,@VirginTrains Thanks,<user> thanks
21182,120646,True,@VirginTrains Thanks... Is this a one off or a regular thing now please!,<user> thanks... is this a one off or a regular thing now please!
21183,120646,True,@VirginTrains Has the unreserved coach been changed on the 17:47 out of Lime St? Coach F on this 9 coach pendolino is virtually fully reserved today!?,<user> has the unreserved coach been changed on the 17:47 out of lime st? coach f on this 9 coach pendolino is virtually fully reserved today!?
21187,120647,True,@VirginTrains TY 😆At least once in London Euston ppl will think I'm on a phone call,<user> ty <emoji> at least once in london euston ppl will think i'm on a phone call
21188,120647,True,Practising my Spanish 🇪🇸 alphabet pronunciation on the 06:48 @VirginTrains  keep getting stuck on G 🙄😁#nottalkingtomyself,practising my spanish 🇪🇸 alphabet pronunciation on the 06:48 <user> keep getting stuck on g <emoji> <emoji> hashtag nottalkingtomyself
21191,120648,True,@VirginTrains Yep :(,<user> yep :(
21192,120648,True,"@VirginTrains Twitter just gave me standard ‘call lost property’ replies, lost property rang out, it was a total brick wall...","<user> twitter just gave me standard ‘call lost property’ replies, lost property rang out, it was a total brick wall..."
21193,120648,True,@VirginTrains And genuine question - what if this has been a real emergency? On a peak time train surely customer service should have been available?,<user> and genuine question - what if this has been a real emergency? on a peak time train surely customer service should have been available?
21198,120648,True,@VirginTrains Gah! Just very very frustrating on an expensive train ticket at peak time. Shoddy customer service :(,<user> gah! just very very frustrating on an expensive train ticket at peak time. shoddy customer service :(
21203,120648,True,"@VirginTrains Look - going round in circles here, there’s real work to be done, kids to be cared for and keys to be cut...","<user> look - going round in circles here, there’s real work to be done, kids to be cared for and keys to be cut..."
21204,120648,True,@VirginTrains I’ll pop in a proper complaint to the actual powers. Argument just that a simple radio to the train would have solved everything.,<user> i’ll pop in a proper complaint to the actual powers. argument just that a simple radio to the train would have solved everything.
21199,120648,True,@VirginTrains How could I have reached them? I was told it’s categorically not possible to contact the train...,<user> how could i have reached them? i was told it’s categorically not possible to contact the train...
21200,120648,True,@VirginTrains So guess I was being brushed off because no one wanted to help? And facing being locked out of home and car with baby not an emergency?,<user> so guess i was being brushed off because no one wanted to help? and facing being locked out of home and car with baby not an emergency?
21194,120648,True,@VirginTrains I’m not trying to be ranty mc rantface of Twitter! Just do you guys actually have any ability to act or is twitter PR window dressing?,<user> i’m not trying to be ranty mc rantface of twitter! just do you guys actually have any ability to act or is twitter pr window dressing?
