text,weak_intent,human_intent,human_escalate,human_reason,review_type,note
@629063 @AppleSupport No one asked you goober,other_out_of_scope,other_out_of_scope,0,none,manual-60,
"@AppleSupport Hi, it’s not an order, it’s a reservation confirmation # and the chat and phone number can’t be connected with.",connectivity,connectivity,0,none,rulebook-assisted,
"@AppleSupport Updated my macbook 2016 on High Sierra 10.13.1 - can copy, but CAN'T paste anymore - can you please help? thank you!",hardware_device,software_update,0,none,manual-60,"High Sierra copy/paste regression, not hardware"
@AppleSupport Onde esta Reputation da Taylor Swift pra Apple Music????????????????????,apps_media,other_out_of_scope,1,unresolvable,manual-60,Portuguese music-availability + non-English
@AppleSupport I have it connected with my PS4,connectivity,connectivity,0,none,rulebook-assisted,
@AppleSupport None of that is new to me. Battery was fine (only a few months old after being replaced) prior to iOS 11 and now it drains extremely fast.,battery_power,battery_power,0,none,rulebook-assisted,
"@AppleSupport macOS Sierra 10.12.6 (13"" MacBook Pro with Touch Bar)",hardware_device,hardware_device,0,none,rulebook-assisted,
@AppleSupport fam I need some help with my apple id can u help me out pls,apple_id_icloud,apple_id_icloud,0,none,rulebook-assisted,
@AppleSupport I’m getting the following error when trying to access my Apple ID - iPhone 6s plus (11.0.3).  HELP!! https://t.co/qPPhunkwEs,apple_id_icloud,apple_id_icloud,0,none,rulebook-assisted,
@AppleSupport Thank you. My keyboard doesnot seem to connect. When I do’nt use the keyboard I don’t get that  notification. What’s wrong? https://t.co/qGmbAWZtFJ,hardware_device,connectivity,0,none,manual-60,BT keyboard won't connect = connectivity
Unable to use Apple Music after purchasing Apple Music Plan @AppleSupport @115858 @116333,apps_media,apps_media,0,none,rulebook-assisted,
I keep getting this error message saying “the item can’t be played” and idk how to fix it... @115948 @AppleSupport,howto_guidance,apps_media,0,none,manual-60,"playback error in media app, not generic howto"
Why do I have this wonky screen and stuck in a white screen afterwards and it would not start ? #MacBookPro @AppleSupport https://t.co/beTlQ3pojL,hardware_device,hardware_device,0,none,rulebook-assisted,
@AppleSupport Wi-Fi i haven’t tried on cellular data,connectivity,connectivity,0,none,rulebook-assisted,
Hey  @115858 @AppleSupport @115858 @116333 what gives? I call @115817 “oops” for a reason. Where is my #iPhoneX ??? https://t.co/t1q7BOlpFU,howto_guidance,purchase_billing_service,0,none,manual-60,iPhoneX delivery/order status
"@AppleSupport after i performed the iOS 11.1 update when it was released i faced the freeze problem with the apple icon showing all the time, i restored my iPhone through iTunes then i downloaded my iCloud backup. Now the same problem happened again",setup_transfer_restore,setup_transfer_restore,0,none,rulebook-assisted,
"@AppleSupport para qué, después de restaurar desde un backup, volvéis a descargar las apps ? Si ya están en el backup. Mi iPhone 8 no acaba!",setup_transfer_restore,other_out_of_scope,1,unresolvable,manual-60,Spanish non-English v1 -> other + escalate
"@AppleSupport It's a new 7, running on 10.3.3, I transferred everything yesterday but it's still saying that it's waiting to finish backing up? It seems to me to be done though?",setup_transfer_restore,setup_transfer_restore,0,none,rulebook-assisted,
"@AppleSupport Final cut ""pro"":— ""Import was aborted due to dropped frames.""

How do DM's fix shoddy software. 

Your marketing team added the officious ""Pro"" to everything (Macbook PRO, final cut PRO, logic PRO). Does that make the software professional quality? What does ""pro"" mean?",hardware_device,hardware_device,0,none,rulebook-assisted,
@AppleSupport If I wanted to google how to use my phone I wouldn’t have spent $900 on a shiny Apple tweet-machine,howto_guidance,howto_guidance,0,none,rulebook-assisted,
@AppleSupport When the letter I and on other apps ..,other_out_of_scope,other_out_of_scope,0,none,rulebook-assisted,
"@AppleSupport I'd rather tweet. This DMs always get lost, as evidenced in our DM history.",support_access_followup,support_access_followup,0,none,rulebook-assisted,
I paid over a 1000$ for your phone. Please fix this keyboard @AppleSupport.,hardware_device,software_update,0,none,manual-60,iOS11 keyboard bug ambiguous; software over hardware
and @AppleSupport why does my phone always autocorrect “i” to I️ ?????? #fixit,software_update,software_update,0,none,rulebook-assisted,
@AppleSupport but how can I when it wont let me on my phone! Had no phone since Friday now.. Such a joke! (2/2),howto_guidance,howto_guidance,0,none,rulebook-assisted,
"@AppleSupport No, this is the first time ever, and hopefully the last. Should I get my phone to a Mac Store?",purchase_billing_service,support_access_followup,0,none,manual-60,'No...' answer + store Q secondary; follow-up
@AppleSupport The pause. I forgot the pause. Thank you!,support_access_followup,support_access_followup,0,none,manual-60,
"@AppleSupport Hi, setting up my new iPhone 8 Plus and it's been stuck on Updating iCloud Settings for 30 mins or so... Is that normal?",setup_transfer_restore,setup_transfer_restore,0,none,rulebook-assisted,
"@AppleSupport My one month old apple watch 3’s screen suddenly cracked open. No scratch on screen , just corners opened itself. Being an apple user for past 3 years #feltcheated  #poorbuilt quality @115858 https://t.co/sie3AczqFr",hardware_device,hardware_device,0,none,rulebook-assisted,
"In #iOS11 on my iPhone 8 Plus, #message app keyboard keeps changing, sounds turn on and off, I cant fix any of it? Help? @AppleSupport",hardware_device,software_update,0,none,manual-60,iOS11 keyboard changing/sounds = update bug
"@AppleSupport Thanks, didn’t think it was legit. How come such a sudden influx of spam coming to iPhones recently?! That’s my second in the last couple of weeks!!?!",support_access_followup,apps_media,0,none,manual-60,"spam iMessages influx Q, not follow-up"
"@AppleSupport how do I subscript a text replacement?? Like if I want to type co2 and have it replaced to CO*subscript 2*, how do I do it??",howto_guidance,howto_guidance,0,none,rulebook-assisted,
@AppleSupport why does my music player always appear on my lock screen? I’m not playing music nor is it connected to a Bluetooth device.,connectivity,connectivity,0,none,rulebook-assisted,
forgot that you aren’t supposed to type I️ on the iPhone anymore. Oops. @AppleSupport help.,other_out_of_scope,software_update,0,none,manual-60,"iOS autocorrect I-bug, not other"
@AppleSupport where do I find all available episodes of the podcast I already subscribe to?,howto_guidance,howto_guidance,0,none,rulebook-assisted,
@AppleSupport fix the issue with “I️” thank you!,support_access_followup,support_access_followup,1,legal_safety,rulebook-assisted,
@AppleSupport Thanks! I solved the problem. There were too many devices connected via bluetooth. It was slowing down my cursor movement. Thanks again!,connectivity,support_access_followup,0,none,manual-60,"solved + thanks closure, not new BT issue"
@AppleSupport can you check my iphones battery status?,battery_power,battery_power,0,none,rulebook-assisted,
