text,weak_intent,human_intent,human_escalate,human_reason,review_type,note
@153905 @VirginTrains No. I remember your last trip to Brum where the heating was ramped up on @VirginTrains.,accessibility_assistance,accessibility_assistance,0,none,manual-60,assist->complaint ('ramped up heating' matched ramp; not assistance); assist-fix
"Thankyou @VirginTrains for not informing me of a change of platform, making me miss my advance booked trains from chorley to Leicester",timetable_platform,timetable_platform,0,none,rulebook-assisted,
@VirginTrains @146946 After 2 hours of waiting in the cold Preston station with limited info I did eventually get on a replacement bus yes. I do feel however that there was absolutely no need for your employ at Lancaster station to get involved. How can I forward a formal complaint about him?,complaint_service,complaint_service,0,none,manual-60,
"@VirginTrains Advised of a £10 admin fee. Once only once transaction went through they revealed £10, per person, per ticket. Out and return.",ticket_change_refund,ticket_change_refund,1,money_threshold,manual-60,
@VirginTrains Why no bus replacement between Bangor &amp; Chester where no flooding - or advice to on local trains from Bangor towards Chester to catch Virgin London train?,timetable_platform,timetable_platform,0,none,rulebook-assisted,
"@341297 @VirginTrains @59 Sorry about that, what time/service train was this on? ^MS",timetable_platform,other_out_of_scope,1,unresolvable,rulebook-assisted;FLIP-intent;FLIP-esc,staff-reply contamination (^XX sign-off; not customer inbound)
@VirginTrains Please could you declassify First Class on the 1520 B'ham Int to Euston?  So busy I can't get to my reserved seat. Thank you!,complaint_service,complaint_service,0,none,rulebook-assisted,
"Another day, another delayed train @VirginTrains #brokenbritain",delay_claim,delay_claim,0,none,rulebook-assisted,
"@VirginTrains Yeah thanks for that, forget that I’m now going to be late arriving into Edinburgh. Booked those specific times for a reason. Don’t fly get the train oh say, yeah right but won’t get you there on time though. Pathetic service from a pathetic company.",delay_claim,delay_claim,1,complaint_review,rulebook-assisted,
Does anyone know where the 5:40 from Glasgow is? Apparently @VirginTrains have lost it,lost_property,timetable_platform,0,none,manual-60,lost->timetable ('lost the train' = where-is-service)
hello everyone please boycott @VirginTrains for being unable to find a booking reference so my broke ass had to pay £160 this morning 🙃,ticket_change_refund,ticket_change_refund,1,money_threshold,rulebook-assisted,
@VirginTrains can you tell me which first class menu it will be Manchester to Euston 1915? Also what times are each menu on this route as I travel this route a lot and never know 😂,complaint_service,howto_guidance,0,none,manual-60,complaint->howto (first-class menu info Q; 'first class' keyword trap)
"@VirginTrains @123241 @13044 Clicked reserve seating, only to find that trainline don’t warn you. Any help? CS virgintrains couldn’t either. Thanks",complaint_service,howto_guidance,0,none,rulebook-assisted;FLIP-intent,complaint->howto (reservation help Q)
@VirginTrains Voicemail left with your lost property team...,lost_property,lost_property,0,none,rulebook-assisted,
"Dear @VirginTrains, have you stop having an in reserved carriage between Rugby &amp; Euston? As this isn’t great for those with season tickets.",fare_ticketing,fare_ticketing,0,none,manual-60,
@VirginTrains tube shut by arrival time how do i get home???,howto_guidance,timetable_platform,0,none,rulebook-assisted;FLIP-intent,howto->timetable
@VirginTrains Can I use my ticket on east midland trains? From East mids parkway to st pancreas?,howto_guidance,ticket_change_refund,0,none,manual-60,howto->amend (ticket acceptance/validity Q)
@VirginTrains how do I force the landing page for train Wi-Fi to appear again ? I’m connected to the network but no websites will load and the landing page won’t either,howto_guidance,howto_guidance,0,none,rulebook-assisted,
@nationalrailenq Be able to let people with London midland tickets on the @VirginTrains from cov to Euston to make up for lost time due to the train fault?,lost_property,delay_claim,0,none,rulebook-assisted;FLIP-intent,"lost->delay ('lost time' = delay, not item)"
@VirginTrains What is the refund procedure for removal of First Class services?,complaint_service,ticket_change_refund,1,money_threshold,rulebook-assisted;FLIP-intent;FLIP-esc,complaint->amend (refund procedure primary)
"@127472 @VirginTrains You are disabled and have a rail card.

I replied because I got blown up in Afghanistan and lifted my trouser leg up.

At this point I was",accessibility_assistance,other_out_of_scope,0,none,rulebook-assisted;FLIP-intent,"assist->other (peer/abuse fragment, no actionable assistance ask)"
"After Friday's horror show on @VirginTrains London-Manchester, I gave them another try to York. No alternative. Return journey 40 mins late into KingsX, got me in near 140AM. Comp claim for lateness absolutely designed to deter. But it has been filed.",other_out_of_scope,delay_claim,0,none,rulebook-assisted;FLIP-intent,other->delay (bare 'mins late'/comp-claim; weak keyword gap)
@VirginTrains I've left my tickets at home and cannot go back to get them otherwise I miss the train I am booked on. Please help!,lost_property,lost_property,0,none,manual-60,"lost->amend (left tickets at home = reissue/change, not on-train item); lost-fix"
@VirginTrains Will tomorrow morning's services from Euston to Manchester be affected?,support_access_followup,timetable_platform,0,none,rulebook-assisted;FLIP-intent,followup->timetable (future-service disruption Q)
@VirginTrains @120576 Not been angry about being delayed got fined for another ticket as my railcard was three days out of date. Just want something back ffs,fare_ticketing,fare_ticketing,1,complaint_review,rulebook-assisted;FLIP-esc,
How many different incidents/excuses can one service have in one day? @nationalrailenq  @VirginTrains https://t.co/g6VbSAt93X,howto_guidance,complaint_service,0,none,manual-60,"howto->complaint (sarcastic service attack, not a how-to)"
Wow... this train from Oxford to Stockport is ridiculously packed @VirginTrains 😳,other_out_of_scope,complaint_service,1,complaint_review,manual-60,other->complaint (crowd/heat/smell/disgust; weak keyword gap)
@VirginTrains bought ticket for manc to ldn AGES ago. How do i know if I can get any train or just the specific one?,howto_guidance,howto_guidance,0,none,rulebook-assisted,
When you realise your train ticket is booked in the @VirginTrains 'Quiet Coach' 🤣🤣🤣 @148328 what were you thinking! #quietmeanspartyright,complaint_service,other_out_of_scope,0,none,rulebook-assisted;FLIP-intent,"complaint->other (quiet-coach joke, no complaint ask)"
@VirginTrains FYI no power at seats 24 and 28 coach F on the 7pm Euston to Man Picc service tonight #pleasefixit,complaint_service,complaint_service,0,none,manual-60,
"I was told “Apparently nothing is available, we run a reduced service” ... not a 1st class service from me I’m afraid! Shame on you @VirginTrains, so v disappointing! https://t.co/pNEV9VWoIh",other_out_of_scope,complaint_service,0,none,manual-60,other->complaint (crowd/heat/smell/disgust; weak keyword gap)
@VirginTrains £48 for a  ticket from Chester to Euston with no seats and an extra £233 each for first class?! #AreYouHavingAFuckingLaugh,complaint_service,complaint_service,0,none,rulebook-assisted,
"Wooooo! @VirginTrains East Coast on time, non stop Edinburgh to Newcastle, and we have our table to ourselves 🙌🏻 https://t.co/HoR7OOKerW",timetable_platform,timetable_platform,0,none,rulebook-assisted,
Thank you @131370 for the quick processing of refund for when I left railcard at Home. Sadly @VirginTrains still haven’t processed since email sent on 16 October... (can Virgin chase?),fare_ticketing,fare_ticketing,1,money_threshold,manual-60,
@VirginTrains Someone in our seats claiming they also reserved them.,complaint_service,complaint_service,0,none,rulebook-assisted,
Suggestion; Can you install movie 🍿 monitors into 1st Class Trains please?? @VirginTrains https://t.co/YJgJrz7otf,other_out_of_scope,other_out_of_scope,0,none,rulebook-assisted,
@VirginTrains I’ve lost my tkt back to Wilmslow. I’ve got receipt and it’s on my app but your staff tell me too bad. Surely not right??,lost_property,lost_property,0,none,manual-60,lost->amend (lost ticket + receipt/staff dispute = reissue); lost-fix
@VirginTrains is the 21:03 train from Euston to Birmingham International still running/ running on time?,timetable_platform,timetable_platform,0,none,rulebook-assisted,
On 6.55 @VirginTrains #Euston to #Manchester @79748 #pension #trustee meeting.  Empty train. Result - but why peak fare Virgin for empty train? #ripoff ? https://t.co/aEpjOGlW3M,fare_ticketing,fare_ticketing,0,none,rulebook-assisted,
"@120576 @VirginTrains Delayed again, no trolley service again, What’s going on...#leedstolondon #alwaysanissue",delay_claim,delay_claim,1,legal_safety,rulebook-assisted,
".@VirginTrains I have just been viciously attacked by the voice of Will Ferrell in your trains, movie adverts in the toilets of trains?! 2017 for ya",complaint_service,complaint_service,0,none,rulebook-assisted,
@VirginTrains &lt;hear them somewhere else in the carriage - maybe a speaker is bust? Ironic because this is the Accessibility area... I’m in Seat D63,accessibility_assistance,accessibility_assistance,0,none,manual-60,
Best train journey EVER from @VirginTrains when I was travelling to York today. Got to watch the polar express for free with brilliant onboard WiFi and amazing customer service 👏🏼👏🏼👏🏼  - very happy customer!! @127472 good job! https://t.co/nhLUnQbKpg,complaint_service,complaint_service,0,none,manual-60,
@VirginTrains what are the rules when it comes to priority seats having reservations?,accessibility_assistance,accessibility_assistance,0,none,rulebook-assisted,
@VirginTrains Mandy in Birmingham new st ticket office and the ticket man on the 7.03 from Euston to Brum.,fare_ticketing,fare_ticketing,0,none,rulebook-assisted,
Why is it so hot on @VirginTrains #manishot,other_out_of_scope,complaint_service,0,none,rulebook-assisted;FLIP-intent,other->complaint (crowd/heat/smell/disgust; weak keyword gap)
"Really impressed with @VirginTrains service from Preston tonight. Late running (out of their control - unwell passenger) - going out of way to communicate, advise on connections, meanwhile hunting down poorly passenger’s luggage to return to them 👍",lost_property,lost_property,0,none,manual-60,"lost->followup (praise/thanks, no item ask); lost-fix"
"@VirginTrains I have an open off peak return to Liverpool and was planning to travel his evening, can I use this ticket for a peak train leaving first thing tomorrow morning in order to get back for work??",howto_guidance,ticket_change_refund,0,none,rulebook-assisted;FLIP-intent,howto->amend (ticket-validity change Q)
@VirginTrains Safety reasons? Most trains don't have a train manager. It's delayed so people from 3 trains on one now. It hot and food shop is closed. 🙄🙄🙄,delay_claim,delay_claim,1,legal_safety,rulebook-assisted,overcrowd implied (3 trains in one); safety-relevant secondary
@VirginTrains They were advanced off peak tickets,ticket_change_refund,ticket_change_refund,0,none,rulebook-assisted,
@VirginTrains  Why have i never recieved my refund on tickets had this problem a few times now. Really dissapointing Almost 2 months now ??,ticket_change_refund,ticket_change_refund,1,money_threshold,rulebook-assisted,
"@VirginTrains Euston to Liverpool, leaving at 0930, first train broke down on platform. Missed connection, currently in a taxi from WGK to Warrington",timetable_platform,timetable_platform,0,none,rulebook-assisted,
@VirginTrains I booked what I thought is Virgin 1st Class is due to passenger assistance,accessibility_assistance,accessibility_assistance,0,none,manual-60,
@VirginTrains .@494454 - very frustrated with @115793 &amp; @VirginTrains please refund my ticket fees for 9.50am Euston to Brum &amp; 14.50pm to Euston,ticket_change_refund,ticket_change_refund,1,money_threshold,manual-60,
"@127472 @VirginTrains You need to go but another ticket'

I explained that would be impossible as I don't have my wallet now.

She then said, how do we know you",howto_guidance,ticket_change_refund,0,none,manual-60,howto->amend (ticket-purchase dispute fragment)
@120576 @VirginTrains @232537 Sorry - assumed it was you because it was your ticket office.,fare_ticketing,fare_ticketing,0,none,manual-60,
