,pred:software_update,pred:battery_power,pred:connectivity,pred:apple_id_icloud,pred:apps_media,pred:hardware_device,pred:setup_transfer_restore,pred:purchase_billing_service,pred:howto_guidance,pred:support_access_followup,pred:other_out_of_scope
true:software_update,2,0,0,0,0,3,0,0,0,0,1
true:battery_power,0,3,0,0,0,0,1,0,0,0,0
true:connectivity,0,0,0,0,0,1,1,0,0,0,3
true:apple_id_icloud,0,0,0,3,0,0,0,0,0,0,0
true:apps_media,1,0,0,0,2,0,0,0,1,1,1
true:hardware_device,0,1,0,0,0,0,0,2,0,1,1
true:setup_transfer_restore,0,0,0,0,0,0,2,0,0,0,1
true:purchase_billing_service,0,0,0,0,0,0,0,2,0,0,3
true:howto_guidance,0,0,0,0,0,0,0,0,1,0,0
true:support_access_followup,2,0,1,0,0,2,0,0,1,6,1
true:other_out_of_scope,0,0,0,0,1,1,1,0,1,0,5
