text,weak_intent,human_intent,human_escalate,human_reason,review_type,note
Fair to say they got it wrong at Coventry station tonight @VirginTrains. Moving a train to a platform where people were already waiting for a delayed train at short notice wasn’t smart. Pushing and shoving galore. Get me home.,timetable_platform,delay_claim,0,none,rulebook-assisted;FLIP-intent,timetable->delay (cancel/delay explicit)
It’s not enough that you’re over an hour delayed out of york @VirginTrains but then the train arrives &amp; sits on the platform for fun?Move?,timetable_platform,delay_claim,0,none,rulebook-assisted;FLIP-intent,timetable->delay (cancel/delay explicit)
@VirginTrains Ok. Have you written about the reasoning behind the new app? Anything at all about the upgrade?,fare_ticketing,howto_guidance,0,none,rulebook-assisted;FLIP-intent,fare->howto (app-upgrade Q matched 'upgrade'; not a fare)
"@127472 @VirginTrains You need to go but another ticket'

I explained that would be impossible as I don't have my wallet now.

She then said, how do we know you",howto_guidance,ticket_change_refund,0,none,manual-60,howto->amend (ticket-purchase dispute fragment)
"After Friday's horror show on @VirginTrains London-Manchester, I gave them another try to York. No alternative. Return journey 40 mins late into KingsX, got me in near 140AM. Comp claim for lateness absolutely designed to deter. But it has been filed.",other_out_of_scope,delay_claim,0,none,rulebook-assisted;FLIP-intent,other->delay (bare 'mins late'/comp-claim; weak keyword gap)
Wow... this train from Oxford to Stockport is ridiculously packed @VirginTrains 😳,other_out_of_scope,complaint_service,1,complaint_review,manual-60,other->complaint (crowd/heat/smell/disgust; weak keyword gap)
@nationalrailenq Be able to let people with London midland tickets on the @VirginTrains from cov to Euston to make up for lost time due to the train fault?,lost_property,delay_claim,0,none,rulebook-assisted;FLIP-intent,"lost->delay ('lost time' = delay, not item)"
@VirginTrains 2/2 to being sardines in a can packed together on the second train meanwhile first class is virtually empty any chance we sit in there pls??,complaint_service,complaint_service,1,complaint_review,rulebook-assisted;FLIP-esc,
@VirginTrains  https://t.co/MRC6T5iDlW,support_access_followup,other_out_of_scope,1,unresolvable,rulebook-assisted;FLIP-intent;FLIP-esc,link-only vague
How many different incidents/excuses can one service have in one day? @nationalrailenq  @VirginTrains https://t.co/g6VbSAt93X,howto_guidance,complaint_service,0,none,manual-60,"howto->complaint (sarcastic service attack, not a how-to)"
"I was told “Apparently nothing is available, we run a reduced service” ... not a 1st class service from me I’m afraid! Shame on you @VirginTrains, so v disappointing! https://t.co/pNEV9VWoIh",other_out_of_scope,complaint_service,0,none,manual-60,other->complaint (crowd/heat/smell/disgust; weak keyword gap)
@VirginTrains tube shut by arrival time how do i get home???,howto_guidance,timetable_platform,0,none,rulebook-assisted;FLIP-intent,howto->timetable
@398094 @VirginTrains On time currently. ^KM,timetable_platform,other_out_of_scope,1,unresolvable,rulebook-assisted;FLIP-intent;FLIP-esc,staff-reply contamination (^XX sign-off; not customer inbound)
@VirginTrains have absolutely no idea how to deal with a crisis! #strandedyetagain #noinformation #scarycrowds #toomanypeople #noorganisation #wouldneverhappeninaschool https://t.co/DpWw5sdS35,howto_guidance,complaint_service,1,legal_safety,manual-60,safety->complaint
Why is it so hot on @VirginTrains #manishot,other_out_of_scope,complaint_service,0,none,rulebook-assisted;FLIP-intent,other->complaint (crowd/heat/smell/disgust; weak keyword gap)
"@VirginTrains train delayed by 25 minutes, then a horrible employee tried to make us clear up somone elses rubbish for her, incredibly rude, awful experience... https://t.co/gChXYHmUgu",delay_claim,delay_claim,1,complaint_review,rulebook-assisted;FLIP-esc,
@VirginTrains @120576 Not been angry about being delayed got fined for another ticket as my railcard was three days out of date. Just want something back ffs,fare_ticketing,fare_ticketing,1,complaint_review,rulebook-assisted;FLIP-esc,
@VirginTrains What is the refund procedure for removal of First Class services?,complaint_service,ticket_change_refund,1,money_threshold,rulebook-assisted;FLIP-intent;FLIP-esc,complaint->amend (refund procedure primary)
@VirginTrains Large bag left in the luggage rack on the 18:31 arrival at Euston. No one I reported to remotely concerned.,timetable_platform,lost_property,0,none,manual-60,lost-fix
"@VirginTrains No it won't. But thanks for your ""concern"" and the £196 ticket to travel in a cattle truck.",support_access_followup,complaint_service,0,none,rulebook-assisted;FLIP-intent,followup->complaint (fare/crowd sarcasm despite thanks)
"@VirginTrains Thanks, booked 🤗 if there would be any chance of any upgrades we would really appreciate it! 😘",fare_ticketing,howto_guidance,0,none,manual-60,fare->howto (app-upgrade Q matched 'upgrade'; not a fare)
@VirginTrains The person on Live Chat states you do not advise disabled seats separately because its discriminatory? So is the '2 seats left' regarding or not regarding disabled seats?,accessibility_assistance,other_out_of_scope,0,none,rulebook-assisted;FLIP-intent,"assist->other (peer/abuse fragment, no actionable assistance ask)"
@VirginTrains Can I use my ticket on east midland trains? From East mids parkway to st pancreas?,howto_guidance,ticket_change_refund,0,none,manual-60,howto->amend (ticket acceptance/validity Q)
"@VirginTrains Due to today, please can I reserve 2 seats from Runcorn to Euston at 6.21 tomorrow, I am travelling with a disabled passenger",accessibility_assistance,other_out_of_scope,0,none,rulebook-assisted;FLIP-intent,"assist->other (peer/abuse fragment, no actionable assistance ask)"
Does anyone know where the 5:40 from Glasgow is? Apparently @VirginTrains have lost it,lost_property,timetable_platform,0,none,manual-60,lost->timetable ('lost the train' = where-is-service)
@116421 @VirginTrains Good morning from Australia,support_access_followup,other_out_of_scope,0,none,rulebook-assisted;FLIP-intent,"followup->other (greeting from abroad, no ask)"
@VirginTrains can you tell me which first class menu it will be Manchester to Euston 1915? Also what times are each menu on this route as I travel this route a lot and never know 😂,complaint_service,howto_guidance,0,none,manual-60,complaint->howto (first-class menu info Q; 'first class' keyword trap)
@VirginTrains @VirginAtlantic A non refundable one ;-),ticket_change_refund,other_out_of_scope,0,none,manual-60,amend->other (Virgin Atlantic airline; wrong brand)
"@VirginTrains If my 10:15 train from Manchester to Euston has been cancelled and I am on an advanced ticket, am I able to travel on the next available service?",delay_claim,ticket_change_refund,0,none,manual-60,overlap delay<->amend primary=ticket_change_refund
"@VirginTrains I have an open off peak return to Liverpool and was planning to travel his evening, can I use this ticket for a peak train leaving first thing tomorrow morning in order to get back for work??",howto_guidance,ticket_change_refund,0,none,rulebook-assisted;FLIP-intent,howto->amend (ticket-validity change Q)
